Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 65 yards, returned by Eddie Drummond for 18 yards (tackle by Ike Reese)",0.000,0.480
1,14:56,1,10,DET 23,0,0,Kevin Jones left tackle for 3 yards (tackle by Keith Brooking),0.480,0.340
1,14:18,2,7,DET 26,0,0,Jon Kitna pass complete short left to Dan Campbell for 16 yards (tackle by DeAngelo Hall),0.340,1.730
1,13:41,1,10,DET 42,0,0,Kevin Jones left end for 2 yards (tackle by Jason Webster and Demorrio Williams),1.730,1.460
1,13:09,2,8,DET 44,0,0,Jon Kitna pass incomplete short right intended for Mike Furrey,1.460,0.760
1,13:05,3,8,DET 44,0,0,Jon Kitna pass complete short middle to Mike Furrey for 26 yards (tackle by Patrick Kerney),0.760,3.580
1,12:19,1,10,ATL 30,0,0,Jon Kitna pass complete deep left to Mike Furrey for 16 yards (tackle by Jason Webster),3.580,4.650
1,11:46,1,10,ATL 14,0,0,Kevin Jones right end for 6 yards (tackle by Michael Boley),4.650,5.090
1,11:09,2,4,ATL 8,0,0,Kevin Jones right tackle for -2 yards (tackle by Lawyer Milloy),5.090,3.820
1,10:29,3,6,ATL 10,0,0,Jon Kitna pass incomplete short middle intended for Roy Williams (defended by Chris Crocker),3.820,2.790
1,10:21,4,6,ATL 10,0,3,Jason Hanson 28 yard field goal good,2.790,3.000
1,,,,DET 30,0,3,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
1,10:17,1,10,ATL 20,0,3,Michael Vick pass complete short left to Alge Crumpler for 15 yards (tackle by Paris Lenon),0.280,1.270
1,9:47,1,10,ATL 35,0,3,Michael Vick pass complete short right to Michael Jenkins for 6 yards (tackle by Ernie Sims),1.270,1.530
1,9:18,2,4,ATL 41,0,3,Warrick Dunn middle for 3 yards (tackle by Paris Lenon and Daniel Bullocks),1.530,1.220
