Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Kirk Cousins right end for 4 yards (tackle by Janoris Jenkins),0.610,0.600
1,14:27,2,6,MIN 29,0,0,Kirk Cousins pass complete short right to Stefon Diggs for 16 yards (tackle by Sean Chandler),0.600,1.930
1,14:02,1,10,MIN 45,0,0,Dalvin Cook left end for -1 yards (tackle by Jabrill Peppers and B.J. Hill),1.930,1.250
1,13:21,2,11,MIN 44,0,0,Kirk Cousins pass complete short left to Olabisi Johnson for 6 yards (tackle by Nathan Stupar),1.250,1.360
1,12:43,3,5,MIN 50,0,0,Kirk Cousins pass complete short right to Adam Thielen for 13 yards (tackle by Antoine Bethea),1.360,3.120
1,12:09,1,10,NYG 37,0,0,Dalvin Cook left end for 2 yards (tackle by Deandre Baker),3.120,2.840
1,11:40,2,8,NYG 35,0,0,Kirk Cousins pass complete short left to Dalvin Cook for 22 yards (tackle by Dexter Lawrence and David Mayo),2.840,4.710
1,10:50,1,10,NYG 13,0,0,Alexander Mattison right tackle for -1 yards (tackle by Antoine Bethea and R.J. McIntosh),4.710,3.900
1,10:15,2,11,NYG 14,0,0,Kirk Cousins sacked by R.J. McIntosh for -9 yards,3.900,2.150
1,9:30,3,20,NYG 23,0,0,Ameer Abdullah left tackle for 10 yards (tackle by David Mayo),2.150,2.570
1,8:50,4,10,NYG 13,3,0,Dan Bailey 31 yard field goal good,2.570,3.000
1,8:46,,,MIN 35,3,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,8:46,1,10,NYG 25,3,0,Daniel Jones pass complete short left to Golden Tate for 5 yards (tackle by Mike Hughes),0.610,0.740
1,8:13,2,5,NYG 30,3,0,Daniel Jones pass complete short left to Evan Engram for 10 yards (tackle by Harrison Smith),0.740,1.600
1,7:57,1,10,NYG 40,3,0,Wayne Gallman left guard for 3 yards (tackle by Harrison Smith),1.600,1.460
1,7:25,2,7,NYG 43,3,0,Daniel Jones pass incomplete deep right intended for Sterling Shepard,1.460,0.760
1,7:19,3,7,NYG 43,3,0,"Daniel Jones sacked by and Everson Griffen for no gain. Penalty on Anthony Harris: Illegal Contact, 5 yards (no play)",0.760,2.130
1,7:00,1,10,NYG 48,3,0,Wayne Gallman up the middle for 11 yards (tackle by Anthony Harris and Eric Kendricks) Penalty on MIN: Defensive Too Many Men on Field (Declined),2.130,2.850
1,6:45,1,10,MIN 41,3,0,Jon Hilliman right guard for 2 yards (tackle by Eric Kendricks),2.850,2.580
1,6:08,2,8,MIN 39,3,0,Daniel Jones pass incomplete deep left intended for Cody Latimer (defended by Mike Hughes),2.580,1.880
1,6:03,3,8,MIN 39,3,0,Daniel Jones pass incomplete short left intended for Jon Hilliman (defended by Eric Kendricks). Penalty on Nate Solder: Offensive Holding (Declined),1.880,0.660
1,5:54,4,8,MIN 39,3,0,Riley Dixon punts 37 yards downed by Cody Core,0.660,0.380
1,5:41,1,10,MIN 2,3,0,Dalvin Cook up the middle for no gain (tackle by Jabrill Peppers),-0.380,-0.780
1,5:06,2,10,MIN 2,3,0,Dalvin Cook up the middle for 2 yards (tackle by Markus Golden and Sean Chandler),-0.780,-1.190
1,4:21,3,8,MIN 4,3,0,Kirk Cousins pass complete short left to Adam Thielen for 10 yards (tackle by Grant Haley and Sean Chandler),-1.190,-0.280
1,3:45,1,10,MIN 14,3,0,Kirk Cousins pass incomplete deep right,-0.280,-0.750
1,3:35,2,10,MIN 14,3,0,Kirk Cousins pass complete short right to Dalvin Cook for 15 yards (tackle by Antoine Bethea),-0.750,0.870
1,3:00,1,10,MIN 29,3,0,Kirk Cousins pass complete short middle to Stefon Diggs for 8 yards (tackle by Nathan Stupar and Janoris Jenkins),0.870,1.410
