Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 70 yards, returned by Ted Ginn Jr. for 32 yards (tackle by Johnathan Joseph)",0.000,1.070
1,14:51,1,10,MIA 32,0,0,Cleo Lemon pass complete short right to Ted Ginn Jr. for 8 yards (tackle by Landon Johnson),1.070,1.610
1,14:51,2,2,MIA 40,0,0,Jesse Chatman up the middle for 4 yards (tackle by Dhani Jones),1.610,1.860
1,13:41,1,10,MIA 44,0,0,Jesse Chatman for 11 yards,1.860,2.590
1,13:11,1,10,CIN 45,0,0,Lorenzo Booker left end for 2 yards (tackle by Landon Johnson),2.590,2.310
1,12:29,2,8,CIN 43,0,0,Cleo Lemon pass complete short left to Lorenzo Booker for 10 yards (tackle by Marvin White),2.310,3.380
1,12:08,1,10,CIN 33,0,0,Jesse Chatman left tackle for 2 yards (tackle by Landon Johnson),3.380,3.110
1,11:29,2,8,CIN 31,0,0,Cleo Lemon pass incomplete short right intended for Marty Booker,3.110,2.410
1,11:26,3,8,CIN 31,0,0,Cleo Lemon pass incomplete short middle intended for Lorenzo Booker,2.410,1.320
1,11:26,4,8,CIN 31,0,3,Jay Feely 49 yard field goal good,1.320,3.000
1,,,,MIA 30,0,3,"Jay Feely kicks off 58 yards, returned by Glenn Holt for 22 yards (tackle by Jay Feely)",0.000,1.200
1,11:11,1,10,CIN 34,0,3,Carson Palmer pass incomplete short middle intended for Kenny Watson,1.200,0.660
1,11:06,2,10,CIN 34,0,3,"Carson Palmer for no gain. Carson Palmer fumbles, recovered by Kenny Watson at CIN-32",0.660,-0.300
1,10:22,3,12,CIN 32,0,3,Carson Palmer pass complete short middle to Chris Henry for 16 yards (tackle by Jason Allen),-0.300,2.130
1,9:40,1,10,CIN 48,0,3,Carson Palmer pass complete short right to Reggie Kelly for 2 yards (tackle by Joey Porter),2.130,1.850
1,9:05,2,8,,0,3,Kenny Watson right guard for 2 yards (tackle by Lance Schulters),1.850,1.420
1,8:21,3,6,MIA 48,0,3,"Carson Palmer pass incomplete short left intended for T.J. Houshmandzadeh. Penalty on Courtney Bryan: Face Mask (15 Yards), 15 yards (no play)",1.420,3.380
1,8:13,1,10,MIA 33,0,3,Carson Palmer pass incomplete short right intended for T.J. Houshmandzadeh,3.380,2.840
1,8:09,2,10,MIA 33,0,3,Kenny Watson right tackle for -5 yards (tackle by Joey Porter),2.840,1.490
1,7:24,3,15,MIA 38,0,3,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 17 yards (tackle by Derrick Pope),1.490,4.170
