Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,"Carson Wentz pass incomplete deep left intended for Boston Scott. Penalty on Jason McCourty: Defensive Pass Interference, 49 yards (no play)",0.610,3.840
1,14:50,1,10,NWE 26,0,0,Miles Sanders right end for 7 yards (tackle by Jonathan Jones),3.840,4.270
1,14:14,2,3,NWE 19,0,0,"Penalty on Jason Peters: False Start, 5 yards (no play)",4.270,3.570
1,13:50,2,8,NWE 24,0,0,Carson Wentz pass incomplete deep right intended for Miles Sanders,3.570,2.870
1,13:46,3,8,NWE 24,0,0,Carson Wentz pass incomplete short left intended for Jordan Matthews (defended by Stephon Gilmore),2.870,1.870
1,13:42,4,8,NWE 24,0,3,Jake Elliott 42 yard field goal good,1.870,3.000
1,13:38,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,13:38,1,10,NWE 25,0,3,Tom Brady pass complete short left to Sony Michel for 12 yards (tackle by Nathan Gerry and Jalen Mills),0.610,1.400
1,12:56,1,10,NWE 37,0,3,Sony Michel up the middle for 3 yards (tackle by Nathan Gerry and Malcolm Jenkins),1.400,1.260
1,12:22,2,7,NWE 40,0,3,Tom Brady pass incomplete short right intended for Julian Edelman,1.260,0.560
1,12:19,3,7,NWE 40,0,3,Tom Brady pass incomplete short left intended for Julian Edelman,0.560,-0.720
1,12:15,4,7,NWE 40,0,3,"Jake Bailey punts 39 yards, fair catch by Boston Scott at PHI-21",-0.720,-0.340
1,12:08,1,10,PHI 21,0,3,Carson Wentz pass complete short left to Zach Ertz for 3 yards (tackle by Devin McCourty),0.340,0.210
1,11:30,2,7,PHI 24,0,3,Miles Sanders left tackle for 3 yards (tackle by Danny Shelton),0.210,-0.100
1,11:04,3,4,PHI 27,0,3,"Carson Wentz pass complete short middle to JJ Arcega-Whiteside for 9 yards (tackle by Terrence Brooks). Penalty on Jason Peters: Ineligible Downfield Pass, 5 yards (no play)",-0.100,-0.760
1,10:32,3,9,PHI 22,0,3,Carson Wentz pass incomplete deep right intended for Mack Hollins,-0.760,-1.900
1,10:27,4,9,PHI 22,0,3,"Cameron Johnston punts 51 yards, returned by Mohamed Sanu for -1 yards (tackle by Rudy Ford and Craig James)",-1.900,-0.670
1,10:17,1,10,NWE 26,0,3,Rex Burkhead left end for 1 yard (tackle by Ronald Darby),0.670,0.270
1,9:43,2,9,NWE 27,0,3,Tom Brady pass complete short right to Julian Edelman for 10 yards (tackle by Avonte Maddox),0.270,1.400
1,9:12,1,10,NWE 37,0,3,Sony Michel right tackle for 3 yards (tackle by Fletcher Cox),1.400,1.260
1,8:34,2,7,NWE 40,0,3,Sony Michel left end for -5 yards (tackle by Kamu Grugier-Hill),1.260,-0.100
1,7:51,3,12,NWE 35,0,3,Tom Brady pass complete short left to James White for 5 yards (tackle by Brandon Graham),-0.100,-0.720
1,7:18,4,7,NWE 40,0,3,Jake Bailey punts 55 yards out of bounds,-0.720,0.380
1,7:09,1,10,PHI 5,0,3,Boston Scott up the middle for 4 yards (tackle by Lawrence Guy and Danny Shelton),-0.380,-0.490
1,6:26,2,6,PHI 9,0,3,Carson Wentz pass complete short right to Zach Ertz for 4 yards (tackle by Stephon Gilmore),-0.490,-0.480
1,5:40,3,2,PHI 13,0,3,Carson Wentz pass complete short left to Miles Sanders for 4 yards (tackle by J.C. Jackson),-0.480,-0.060
1,5:00,1,10,PHI 17,0,3,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by John Simon),-0.060,0.750
1,4:17,2,1,PHI 26,0,3,"Carson Wentz left end for 1 yard (tackle by John Simon). Penalty on Danny Shelton: Illegal Use of Hands, 5 yards",0.750,1.070
1,3:56,1,10,PHI 32,0,3,Carson Wentz pass complete short right to Nelson Agholor for 5 yards (tackle by Jonathan Jones),1.070,1.200
1,3:12,2,5,PHI 37,0,3,Carson Wentz pass complete short right to Dallas Goedert for 21 yards (tackle by Kyle Van Noy),1.200,2.790
1,2:19,,,,,,Timeout #1 by Philadelphia Eagles,,
1,2:19,1,10,NWE 42,0,3,Boston Scott right guard for 5 yards (tackle by Deatrich Wise),2.790,2.920
1,1:44,2,5,NWE 37,0,3,Miles Sanders right tackle for 5 yards (tackle by Chase Winovich),2.920,3.450
1,1:03,1,10,NWE 32,0,3,Carson Wentz up the middle for 8 yards (tackle by John Simon),3.450,3.980
1,0:33,2,2,NWE 24,0,3,Miles Sanders left end for 5 yards (tackle by Chase Winovich),3.980,4.310
Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 19,0,3,Carson Wentz pass complete short left to Miles Sanders for 5 yards (tackle by Kyle Van Noy),4.310,4.530
2,14:16,2,5,NWE 14,0,3,Miles Sanders left end for 6 yards (tackle by Danny Shelton),4.530,5.370
2,13:30,1,8,NWE 8,0,3,Miles Sanders up the middle for 3 yards (tackle by Devin McCourty),5.370,5.150
2,12:47,2,5,NWE 5,0,3,Carson Wentz pass incomplete short left intended for Nelson Agholor,5.150,4.260
2,12:40,3,5,NWE 5,0,9,"Carson Wentz pass complete short middle to Dallas Goedert for 5 yards, touchdown",4.260,7.000
2,12:36,,,NWE 15,0,10,Jake Elliott kicks extra point good,0.000,0.000
2,12:36,,,PHI 35,0,10,"Jake Elliott kicks off 66 yards, returned by Brandon Bolden for 25 yards (tackle by Craig James)",0.000,0.540
2,12:30,1,10,NWE 24,0,10,Tom Brady pass incomplete short middle intended for Sony Michel,0.540,0.000
2,12:24,2,10,NWE 24,0,10,Tom Brady pass complete short right to Julian Edelman for 12 yards (tackle by Avonte Maddox),0.000,1.330
2,11:56,1,10,NWE 36,0,10,Tom Brady pass incomplete deep left intended for Phillip Dorsett (defended by Ronald Darby),1.330,0.790
2,11:47,2,10,NWE 36,0,10,Tom Brady pass complete short middle to N'Keal Harry for 11 yards (tackle by Ronald Darby),0.790,2.060
2,11:08,1,10,NWE 47,0,10,Rex Burkhead up the middle for no gain (tackle by Jalen Mills). Penalty on Mohamed Sanu: Illegal Shift (Declined),2.060,1.520
2,10:45,2,10,NWE 47,0,10,Tom Brady pass incomplete deep right intended for Julian Edelman (defended by Jalen Mills),1.520,0.830
2,10:37,3,10,NWE 47,0,10,Tom Brady pass complete short middle to Ben Watson for 22 yards (tackle by Rodney McLeod),0.830,3.510
2,9:53,1,10,PHI 31,0,10,Tom Brady pass incomplete short middle,3.510,2.970
2,9:45,2,10,PHI 31,0,10,Tom Brady pass incomplete short left intended for James White,2.970,2.280
2,9:42,3,10,PHI 31,0,10,"Tom Brady pass incomplete short left intended for Julian Edelman. Penalty on Avonte Maddox: Defensive Pass Interference, 11 yards (no play)",2.280,4.240
2,9:38,1,10,PHI 20,0,10,Tom Brady pass incomplete short right intended for Sony Michel,4.240,3.690
2,9:30,2,10,PHI 20,0,10,Tom Brady pass complete short right to Mohamed Sanu for 3 yards (tackle by Malcolm Jenkins),3.690,3.360
2,8:49,3,7,PHI 17,0,10,Tom Brady pass incomplete short right,3.360,2.310
2,8:40,4,7,PHI 17,3,10,Nick Folk 35 yard field goal good,2.310,3.000
2,8:37,,,NWE 35,3,10,"Jake Bailey kicks off 58 yards, muffed catch by Boston Scott returned by Boston Scott for 11 yards (tackle by Brandon Bolden). Boston Scott fumbles, ball out of bounds at PHI-22 (forced by Brandon Bolden)",0.000,0.410
2,8:30,1,10,PHI 22,3,10,Boston Scott left end for 4 yards (tackle by John Simon),0.410,0.410
2,7:46,2,6,PHI 26,3,10,Carson Wentz sacked by Elandon Roberts for -11 yards,0.410,-2.050
2,6:58,3,17,PHI 15,3,10,Carson Wentz pass incomplete deep right intended for Jordan Matthews,-2.050,-2.440
2,6:54,4,17,PHI 15,3,10,"Cameron Johnston punts 47 yards, returned by Mohamed Sanu for 14 yards (tackle by Rudy Ford)",-2.440,-2.390
2,6:41,1,10,PHI 48,3,10,Rex Burkhead up the middle for 3 yards (tackle by Malcolm Jenkins),2.390,2.250
2,6:08,2,7,PHI 45,3,10,Tom Brady pass incomplete short left intended for Rex Burkhead,2.250,1.550
2,6:02,3,7,PHI 45,3,10,Tom Brady pass complete short middle to Julian Edelman for 12 yards (tackle by Rodney McLeod),1.550,3.380
2,5:49,1,10,PHI 33,3,10,Sony Michel right end for 8 yards (tackle by Kamu Grugier-Hill),3.380,3.920
