Quarter,Time,Down,ToGo,Location,TEN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Nick Novak kicks off 60 yards, returned by Bobby Wade for 18 yards (tackle by Todd Yoder)",0.000,0.810
1,14:56,1,10,TEN 28,0,0,Vince Young pass complete short right to Ahmard Hall for 2 yards (tackle by Kenny Wright and Marcus Washington),0.810,0.530
1,14:14,2,8,TEN 30,0,0,Vince Young pass incomplete short left intended for Ben Troupe,0.530,-0.160
1,14:08,3,8,TEN 30,0,0,Vince Young pass complete short middle to Drew Bennett for 15 yards (tackle by Carlos Rogers),-0.160,1.930
1,13:28,1,10,TEN 45,0,0,Travis Henry right end for 1 yard (tackle by Phillip Daniels),1.930,1.520
1,12:47,2,9,TEN 46,0,0,Vince Young pass complete deep left to Bobby Wade for 23 yards (tackle by Adam Archuleta),1.520,3.510
1,12:04,1,10,WAS 31,0,0,Travis Henry left tackle for 8 yards (tackle by Adam Archuleta and Sean Taylor),3.510,4.050
1,11:27,2,2,WAS 23,0,0,Travis Henry left tackle for 5 yards (tackle by Adam Archuleta and Marcus Washington),4.050,4.370
1,10:46,1,10,WAS 18,0,0,Vince Young pass incomplete deep middle intended for Bo Scaife,4.370,3.800
1,10:41,2,10,WAS 18,0,0,Travis Henry right end for 4 yards (tackle by Sean Taylor and Kenny Wright),3.800,3.630
1,9:55,3,6,WAS 14,0,0,Vince Young pass incomplete short right intended for Ben Troupe,3.630,2.530
1,9:49,4,6,WAS 14,3,0,Rob Bironas 32 yard field goal good,2.530,3.000
1,,,,TEN 30,3,0,"Rob Bironas kicks off 70 yards, returned by Rock Cartwright for 22 yards (tackle by Cortland Finnegan)",0.000,0.410
1,9:38,1,10,WAS 22,3,0,"Santana Moss left end for -2 yards. Santana Moss fumbles, recovered by Santana Moss at WAS-17",0.410,-0.400
1,9:02,2,12,WAS 20,3,0,Mark Brunell pass complete short middle to Clinton Portis for 5 yards (tackle by Antwan Odom and Keith Bulluck),-0.400,-0.430
1,8:18,3,7,WAS 25,3,0,Mark Brunell pass complete short middle to Ladell Betts for 8 yards (tackle by Keith Bulluck and Reynaldo Hill),-0.430,1.140
1,7:34,1,10,WAS 33,3,0,Santana Moss left end for 35 yards (tackle by David Thornton),1.140,3.450
1,6:46,1,10,TEN 32,3,0,Clinton Portis right end for 4 yards (tackle by Keith Bulluck),3.450,3.440
1,6:05,2,6,TEN 28,3,0,Mark Brunell pass incomplete short right intended for Chris Cooley (defended by Chris Hope),3.440,2.740
1,5:58,3,6,TEN 28,3,0,Mark Brunell pass complete short left to Santana Moss for 7 yards,2.740,4.170
1,5:37,1,10,TEN 21,3,0,Mike Sellers left tackle for 8 yards (tackle by Keith Bulluck and Chris Hope),4.170,4.950
1,5:03,2,2,TEN 13,3,0,Clinton Portis right end for 3 yards (tackle by Colby Bockwoldt),4.950,4.910
1,4:23,1,10,TEN 10,3,6,"Clinton Portis left tackle for 10 yards, touchdown",4.910,7.000
1,,,,TEN 2,3,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,WAS 30,3,7,"Nick Novak kicks off 67 yards, returned by Bobby Wade for 20 yards (tackle by Mike Sellers)",0.000,0.480
1,4:12,1,10,TEN 23,3,7,Travis Henry left end for 3 yards (tackle by Lemar Marshall and Anthony Montgomery),0.480,0.340
1,3:35,2,7,TEN 26,3,7,Vince Young pass incomplete deep middle intended for Drew Bennett,0.340,-0.360
1,3:28,3,7,TEN 26,3,7,Vince Young pass incomplete short right intended for Drew Bennett (defended by Kenny Wright),-0.360,-1.630
1,3:23,4,7,TEN 26,3,7,"Craig Hentrich punts 53 yards, returned by Antwaan Randle El for 9 yards (tackle by Casey Cramer)",-1.630,-0.940
1,3:12,1,10,WAS 30,3,7,Mark Brunell pass complete short right to Santana Moss for 6 yards (tackle by Adam Jones),0.940,1.200
1,2:37,2,4,WAS 36,3,7,Mike Sellers left guard for 3 yards (tackle by Randy Starks),1.200,0.890
1,2:05,3,1,WAS 39,3,7,Mark Brunell middle for 3 yards (tackle by Peter Sirmon),0.890,1.730
1,1:29,1,10,WAS 42,3,7,Mark Brunell pass complete short left to Santana Moss for 5 yards (tackle by Adam Jones),1.730,1.860
1,1:07,2,5,WAS 47,3,7,"Antwaan Randle El right end for 12 yards (tackle by Chris Hope). Penalty on Adam Jones: Unnecessary Roughness, 15 yards",1.860,3.840
1,0:39,1,10,TEN 26,3,7,Clinton Portis right end for 2 yards (tackle by David Thornton and Jesse Mahelona),3.840,3.570
Quarter,Time,Down,ToGo,Location,TEN,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,TEN 24,3,13,"Mark Brunell pass complete deep right to Chris Cooley for 24 yards, touchdown",3.570,7.000
2,,,,TEN 2,3,14,Nick Novak kicks extra point good,0.000,0.000
2,,,,WAS 30,3,14,"Nick Novak kicks off 62 yards, returned by Bobby Wade for 21 yards (tackle by Khary Campbell)",0.000,0.870
2,14:49,1,10,TEN 29,3,14,Travis Henry right end for 4 yards (tackle by Sean Taylor and Phillip Daniels),0.870,0.870
2,14:03,2,6,TEN 33,3,14,Travis Henry middle for 3 yards (tackle by Phillip Daniels),0.870,0.560
2,13:21,3,3,TEN 36,3,14,Vince Young pass complete short right to Brandon Jones for 8 yards (tackle by Carlos Rogers),0.560,1.860
2,12:55,1,10,TEN 44,3,14,Travis Henry right end for 5 yards (tackle by Sean Taylor),1.860,1.990
2,12:13,2,5,TEN 49,3,14,Travis Henry left tackle for 8 yards (tackle by Sean Taylor),1.990,2.720
2,11:32,1,10,WAS 43,3,14,"Vince Young pass incomplete short left intended for Bo Scaife. Penalty on Marcus Washington: Roughing the Passer, 15 yards (no play)",2.720,3.710
2,11:27,1,10,WAS 28,3,14,Vince Young pass complete short left to Roydell Williams for 20 yards (tackle by Warrick Holdman),3.710,5.370
2,10:57,1,8,WAS 8,3,14,Travis Henry right end for no gain (tackle by Sean Taylor and Marcus Washington),5.370,4.570
2,10:17,2,8,WAS 8,3,14,Vince Young sacked by Kedric Golston and Anthony Montgomery for -1 yards,4.570,3.360
2,9:45,3,9,WAS 9,3,14,Vince Young pass incomplete short middle intended for Drew Bennett,3.360,2.830
2,9:41,4,9,WAS 9,6,14,Rob Bironas 26 yard field goal good,2.830,3.000
2,,,,TEN 30,6,14,"Rob Bironas kicks off 63 yards, muffed catch by Rock Cartwright, recovered by Rock Cartwright and returned for no gain",0.000,0.480
2,9:31,1,10,WAS 23,6,14,Mark Brunell pass complete short right to Santana Moss for 7 yards,0.480,0.880
2,9:07,2,3,WAS 30,6,14,Clinton Portis left end for 3 yards (tackle by Kyle Vanden Bosch),0.880,1.140
2,8:35,1,10,WAS 33,6,14,"Mark Brunell pass complete short right to Clinton Portis for 23 yards (tackle by Chris Hope). Penalty on Antwaan Randle El: Illegal Shift, 5 yards (no play)",1.140,0.810
2,8:08,1,15,WAS 28,6,14,Antwaan Randle El right end for 6 yards (tackle by Lamont Thompson),0.810,0.730
2,7:38,2,9,WAS 34,6,14,Ladell Betts left guard for -1 yards (tackle by Tony Brown),0.730,-0.100
2,6:55,3,10,WAS 33,6,14,Mark Brunell pass incomplete deep middle intended for Santana Moss,-0.100,-1.180
2,6:47,4,10,WAS 33,6,14,"Derrick Frost punts 36 yards, fair catch by Adam Jones",-1.180,-1.000
2,6:42,1,10,TEN 31,6,14,Vince Young pass complete deep middle to Drew Bennett for 18 yards (tackle by Sean Taylor),1.000,2.190
2,6:02,1,10,TEN 49,6,14,Travis Henry right tackle for 23 yards (tackle by Sean Taylor),2.190,3.710
2,5:35,1,10,WAS 28,6,14,Travis Henry middle for 7 yards (tackle by Lemar Marshall),3.710,4.110
2,4:58,2,3,WAS 21,6,14,Travis Henry right tackle for 5 yards (tackle by Kedric Golston),4.110,4.510
2,4:22,1,10,WAS 16,6,14,Chris Brown middle for no gain (tackle by Ryan Boschetti),4.510,3.900
2,3:41,2,10,WAS 16,6,14,Vince Young pass incomplete deep middle intended for Bo Scaife (defended by Sean Taylor),3.900,3.080
2,3:34,3,10,WAS 16,6,14,Vince Young pass complete short left to Bobby Wade for 13 yards (tackle by Shawn Springs),3.080,6.510
2,2:47,1,3,WAS 3,12,14,"Vince Young pass complete short middle to Brandon Jones for 3 yards, touchdown",6.510,7.000
2,,,,WAS 2,13,14,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,13,14,"Rob Bironas kicks off 70 yards, returned by Rock Cartwright for 22 yards (tackle by Casey Cramer)",0.000,0.410
2,2:37,1,10,WAS 22,13,14,Mark Brunell pass complete short middle to Clinton Portis for -6 yards (tackle by Antwan Odom and Kyle Vanden Bosch),0.410,-1.080
2,2:00,2,16,WAS 16,13,14,Clinton Portis left end for 15 yards (tackle by Reynaldo Hill),-1.080,0.370
2,1:46,,,,13,14,Timeout #1 by Washington Redskins,0.000,0.370
2,1:45,3,1,WAS 31,13,14,Mike Sellers middle for 4 yards (tackle by Keith Bulluck),0.370,1.270
2,1:23,1,10,WAS 35,13,14,Mark Brunell pass incomplete short right intended for Santana Moss,1.270,0.720
