Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Jay Feely kicks off 62 yards, returned by Terrence McGee for 38 yards (tackle by Jay Feely)",0.000,1.990
1,14:52,1,10,BUF 46,0,0,Marshawn Lynch up the middle for no gain (tackle by Keith Traylor),1.990,1.450
1,14:14,2,10,BUF 46,0,0,Marshawn Lynch left guard for 4 yards (tackle by Lance Schulters and Keith Traylor),1.450,1.290
1,13:39,3,6,,0,0,Trent Edwards pass incomplete short middle intended for Roscoe Parrish (defended by Lance Schulters),1.290,-0.060
1,13:34,4,6,,0,0,"Brian Moorman punts 31 yards, muffed catch by Ted Ginn Jr., recovered by John Wendling and returned for no gain",-0.060,3.710
1,13:25,1,10,MIA 28,0,0,Marshawn Lynch right guard for -1 yards (tackle by Jason Taylor),3.710,3.030
1,12:47,2,11,MIA 29,0,0,Trent Edwards pass complete deep right to Josh Reed for 16 yards (tackle by Lance Schulters),3.030,4.710
1,12:19,1,10,MIA 13,0,6,"Trent Edwards pass complete short right to Robert Royal for 13 yards, touchdown",4.710,7.000
1,,,,MIA 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,0,7,"Rian Lindell kicks off 37 yards, returned by Reagan Mauia for 4 yards (tackle by Jim Leonhard)",0.000,1.400
1,12:11,1,10,MIA 37,0,7,John Beck for -4 yards (tackle by Donte Whitner),1.400,0.320
1,11:40,2,14,MIA 33,0,7,John Beck pass incomplete short middle intended for Samkon Gado,0.320,-0.360
1,11:33,3,14,MIA 33,0,7,John Beck sacked by Ryan Denney for -7 yards,-0.360,-1.630
1,11:14,4,21,MIA 26,0,7,"Brandon Fields punts 41 yards, returned by Roscoe Parrish for 67 yards. Penalty on John Wendling: Offensive Holding, 10 yards, Penalty on Justin Jenkins: Unsportsmanlike Conduct (Declined)",-1.630,-0.870
1,10:57,1,10,BUF 29,0,7,"Marshawn Lynch up the middle for 9 yards (tackle by Jason Allen). Penalty on Lance Schulters: Delay of Game, 5 yards",0.870,1.800
,,,,,,,"BUF challenged the fumble ruling, and the original play was overturned.",,
