Quarter,Time,Tm,Detail,ATL,DET
1.0,5:50,Falcons,Roddy White 44 yard pass from Matt Ryan (Matt Bryant kick),7,0
,0:13,Lions,Jason Hanson 34 yard field goal,7,3
2.0,9:54,Falcons,Roddy White 39 yard pass from Matt Ryan (Matt Bryant kick),14,3
,1:17,Falcons,Julio Jones 16 yard pass from Matt Ryan (Matt Bryant kick),21,3
,0:02,Lions,Jason Hanson 38 yard field goal,21,6
3.0,6:59,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),21,13
4.0,13:26,Lions,Jason Hanson 20 yard field goal,21,16
,7:12,Falcons,Michael Palmer 1 yard pass from Matt Ryan (Matt Bryant kick),28,16
,3:05,Falcons,Matt Bryant 20 yard field goal,31,16
,1:21,Lions,"Safety, Michael Turner tackled in the end zone by Kyle Vanden Bosch.",31,18
