Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",,
1,15:00,1,10,DET 25,0,0,Jared Goff pass incomplete short right intended for Kalif Raymond,,
1,14:55,2,10,DET 25,0,0,"Jared Goff pass complete short left to Darren Fells for 11 yards (tackle by DeShon Elliott). Penalty on Anthony Averett: Defensive Holding, 5 yards (declined)",,
1,14:34,1,10,DET 36,0,0,D'Andre Swift right end for 11 yards (tackle by Chuck Clark),,
1,13:53,1,10,DET 47,0,0,Jared Goff pass incomplete short left intended for Kalif Raymond (defended by Anthony Averett),,
1,13:54,2,10,DET 47,0,0,Jamaal Williams up the middle for 1 yard (tackle by Broderick Washington),,
1,13:10,3,9,DET 48,0,0,Jared Goff pass incomplete short left intended for Darren Fells,,
1,13:05,4,9,DET 48,0,0,Jack Fox punts 48 yards downed by KhaDarel Hodge,,
1,12:57,1,10,BAL 4,0,0,Lamar Jackson pass complete short right to Marquise Brown for 5 yards (tackle by Bobby Price),,
1,12:27,2,5,BAL 9,0,0,Latavius Murray up the middle for 2 yards (tackle by Alex Anzalone and Charles Harris),,
1,11:43,3,3,BAL 11,0,0,Devonta Freeman right end for -2 yards (tackle by Jalen Reeves-Maybin),,
1,10:59,4,5,BAL 9,0,0,"Sam Koch punts 54 yards, returned by Kalif Raymond for 11 yards (tackle by Malik Harrison)",,
1,10:45,1,10,DET 48,0,0,Jamaal Williams for 4 yards (tackle by Justin Ellis),,
1,10:05,2,6,BAL 48,0,0,"D'Andre Swift right end for -9 yards. D'Andre Swift fumbles, recovered by Broderick Washington at BAL-48 Replay Assistant challenged the backward pass ruling, and the original play was overturned. D'Andre Swift pass incomplete short left",,
1,10:01,3,6,BAL 48,0,0,Jared Goff sacked by Chuck Clark for -12 yards,,
1,9:24,4,18,DET 40,0,0,Jack Fox punts 25 yards out of bounds,,
1,9:15,1,10,BAL 35,0,0,Lamar Jackson pass complete short right to Mark Andrews for 16 yards (tackle by Dean Marlowe),,
1,8:37,1,10,DET 49,0,0,Lamar Jackson pass complete short middle to Marquise Brown for 11 yards (tackle by Dean Marlowe),,
1,7:58,1,10,DET 38,0,0,Ty'Son Williams left tackle for 2 yards (tackle by Will Harris),,
1,7:19,2,8,DET 36,0,0,Devonta Freeman right end for 5 yards (tackle by Derrick Barnes and Romeo Okwara),,
1,6:38,3,3,DET 31,0,0,Latavius Murray right tackle for no gain (tackle by AJ Parker),,
1,5:57,4,3,DET 31,0,0,Justin Tucker 49 yard field goal no good,,
