Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Lawrence Tynes kicks off 70 yards, returned by Devin Moore for 20 yards (tackle by Gerris Wilkinson)",0.000,0.280
1,14:55,1,10,IND 20,0,0,Peyton Manning pass complete short right to Pierre Garcon for 11 yards (tackle by Michael Boley),0.280,1.000
1,14:27,1,10,IND 31,0,0,Peyton Manning pass complete short left to Reggie Wayne for 13 yards (tackle by Terrell Thomas),1.000,1.860
1,13:55,1,10,IND 44,0,0,Joseph Addai left tackle for 1 yard (tackle by Jonathan Goff),1.860,1.450
1,13:20,2,9,IND 45,0,0,Peyton Manning pass complete short left to Joseph Addai for 8 yards,1.450,1.820
1,12:53,3,1,NYG 47,0,0,Joseph Addai left tackle for 2 yards (tackle by Justin Tuck and Barry Cofield),1.820,2.590
1,12:08,1,10,NYG 45,0,0,Joseph Addai right tackle for 2 yards (tackle by Jonathan Goff),2.590,2.310
1,11:32,2,8,NYG 43,0,0,Peyton Manning pass complete short left to Reggie Wayne for 13 yards (tackle by Deon Grant),2.310,3.580
1,10:59,1,10,NYG 30,0,0,Joseph Addai right end for 9 yards (tackle by Kenny Phillips),3.580,4.250
1,10:36,2,1,NYG 21,0,0,Joseph Addai right end for 1 yard (tackle by Michael Boley),4.250,4.240
1,10:04,1,10,NYG 20,0,0,Donald Brown middle for 11 yards (tackle by Kenny Phillips and Michael Boley),4.240,5.140
1,9:26,1,9,NYG 9,0,0,"Penalty on Ryan Diem: False Start, 5 yards (no play)",5.140,4.440
1,9:02,1,14,NYG 14,0,0,Peyton Manning pass complete short middle to Austin Collie for 7 yards (tackle by Corey Webster),4.440,4.760
1,8:21,2,7,NYG 7,0,6,"Donald Brown left tackle for 7 yards, touchdown",4.760,7.000
1,,,,NYG 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Pat McAfee kicks off 75 yards, touchback",0.000,0.280
1,8:16,1,10,NYG 20,0,7,Mario Manningham left end for 2 yards (tackle by Antoine Bethea),0.280,0.000
1,7:42,2,8,NYG 22,0,7,Ahmad Bradshaw right guard for -2 yards (tackle by Fili Moala and Philip Wheeler),0.000,-0.960
1,7:04,3,10,NYG 20,0,7,Eli Manning pass incomplete short right intended for Hakeem Nicks,-0.960,-2.030
1,7:00,4,10,NYG 20,0,7,"Matt Dodge punts 42 yards, returned by Jerraud Powers for 10 yards (tackle by Jonathan Goff)",-2.030,-2.130
1,6:48,1,10,IND 48,0,7,Joseph Addai left end for 1 yard (tackle by Terrell Thomas),2.130,1.720
1,6:13,2,9,IND 49,0,7,Peyton Manning pass incomplete deep middle intended for Reggie Wayne,1.720,1.020
1,6:06,3,9,IND 49,0,7,Peyton Manning pass incomplete short left intended for Joseph Addai,1.020,-0.130
1,6:03,4,9,IND 49,0,7,"Pat McAfee punts 37 yards, fair catch by Darius Reynaud. Penalty on Justin Snow: Offensive Holding, 10 yards (no play)",-0.130,-0.780
1,5:57,4,19,IND 39,0,7,"Pat McAfee punts 49 yards, returned by Darius Reynaud for 3 yards (tackle by Pat Angerer)",-0.780,0.220
1,5:46,1,10,NYG 15,0,7,Ahmad Bradshaw right end for 8 yards (tackle by Daniel Muir and Kelvin Hayden),-0.220,0.480
1,5:10,2,2,NYG 23,0,7,Eli Manning pass incomplete deep left intended for Steve Smith,0.480,-0.390
1,5:03,3,2,NYG 23,0,7,Eli Manning pass incomplete short right intended for Hakeem Nicks (defended by Kelvin Hayden),-0.390,-1.830
1,4:59,4,2,NYG 23,0,7,"Matt Dodge punts 54 yards, returned by Jerraud Powers for 12 yards (tackle by D.J. Johnson)",-1.830,-1.270
1,4:49,1,10,IND 35,0,7,Donald Brown left tackle for 2 yards (tackle by Michael Boley),1.270,0.990
1,4:13,2,8,IND 37,0,7,Peyton Manning pass complete short left to Reggie Wayne for 5 yards (tackle by Terrell Thomas),0.990,0.960
1,3:28,3,3,IND 42,0,7,Peyton Manning pass incomplete short right intended for Dallas Clark (defended by Deon Grant),0.960,-0.590
1,3:24,4,3,IND 42,0,7,Pat McAfee punts 30 yards,-0.590,-0.810
1,3:13,1,10,NYG 28,0,7,Brandon Jacobs right tackle for 3 yards (tackle by Antonio Johnson and Mitch King),0.810,0.670
1,2:34,2,7,NYG 31,0,7,Eli Manning pass complete short right to Travis Beckum for 1 yard (tackle by Melvin Bullitt and Kavell Conner),0.670,0.100
1,1:45,3,6,NYG 32,0,7,"Eli Manning pass incomplete short right intended for Hakeem Nicks. Penalty on Kelvin Hayden: Defensive Pass Interfere, 14 yards (no play)",0.100,1.990
1,1:41,1,10,NYG 46,0,7,Eli Manning for 6 yards (tackle by Daniel Muir),1.990,2.260
1,1:08,2,4,IND 48,0,7,Brandon Jacobs left tackle for 5 yards (tackle by Jerraud Powers),2.260,2.720
1,0:31,1,10,IND 43,0,7,Brandon Jacobs left end for no gain (tackle by Kavell Conner),2.720,2.180
Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,IND 43,0,7,Ahmad Bradshaw left tackle for 3 yards (tackle by Kavell Conner),2.180,1.880
2,14:17,3,7,IND 40,0,7,Eli Manning pass incomplete deep left intended for Mario Manningham,1.880,0.590
