Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Billy Cundiff kicks off 69 yards, returned by Gary Russell for 19 yards (tackle by Jalen Parmele)",0.000,0.280
1,14:55,1,10,OAK 20,0,0,"Charlie Frye pass incomplete short middle intended for Gary Russell. Penalty on Cornell Green: Ineligible Downfield Pas, 5 yards (no play)",0.280,-0.310
1,14:50,1,15,OAK 15,0,0,Charlie Frye pass complete short middle to Louis Murphy for 5 yards (tackle by Jarret Johnson),-0.310,-0.270
1,14:13,2,10,OAK 20,0,0,Darren McFadden left end for 2 yards (tackle by Jarret Johnson),-0.270,-0.690
1,13:35,3,8,OAK 22,0,0,Charlie Frye pass complete to Chaz Schilens for 8 yards (tackle by Chris Carr),-0.690,0.940
1,12:50,1,10,OAK 30,0,0,Charlie Frye pass complete short left to Marcel Reece for 11 yards (tackle by Chris Carr),0.940,1.660
1,12:24,1,10,OAK 41,0,0,Michael Bush middle for 1 yard (tackle by Dwan Edwards and Ray Lewis),1.660,1.260
1,11:52,2,9,OAK 42,0,0,Charlie Frye pass complete short middle to Zach Miller for 4 yards (tackle by Ed Reed),1.260,1.090
1,11:08,3,5,OAK 46,0,0,Charlie Frye pass incomplete short middle intended for Louis Murphy,1.090,-0.320
1,11:03,4,5,OAK 46,0,0,"Shane Lechler punts 54 yards, touchback",-0.320,-0.280
1,10:55,1,10,BAL 20,0,0,Ray Rice right guard for 5 yards (tackle by Kirk Morrison),0.280,0.410
1,10:21,2,5,BAL 25,0,0,Ray Rice middle for 6 yards (tackle by Richard Seymour),0.410,1.000
1,9:53,1,10,BAL 31,0,0,Joe Flacco pass incomplete short right intended for Mark Clayton (defended by Stanford Routt),1.000,0.460
1,9:49,2,10,BAL 31,0,0,Joe Flacco sacked by Trevor Scott for -3 yards,0.460,-0.630
1,9:11,3,13,BAL 28,0,0,Joe Flacco pass incomplete short right intended for Ray Rice,-0.630,-1.500
1,9:07,4,13,BAL 28,0,0,Sam Koch punts 50 yards,-1.500,-0.410
1,8:57,1,10,OAK 22,0,0,Louis Murphy right end for 4 yards (tackle by Ed Reed),0.410,0.410
1,8:24,2,6,OAK 26,0,0,Darren McFadden right end for -1 yards (tackle by Chris Carr),0.410,-0.430
1,7:53,3,7,OAK 25,0,0,Charlie Frye pass complete short left to Louis Murphy for 2 yards (tackle by Chris Carr),-0.430,-1.570
1,7:16,4,5,OAK 27,0,0,"Shane Lechler punts 53 yards, returned by Chris Carr for 6 yards (tackle by Sam Williams)",-1.570,-0.670
1,7:05,1,10,BAL 26,0,0,Joe Flacco pass complete short middle to Ray Rice for 9 yards (tackle by Trevor Scott),0.670,1.350
1,6:40,2,1,BAL 35,0,0,Le'Ron McClain middle for 5 yards (tackle by Kirk Morrison),1.350,1.600
1,6:03,1,10,BAL 40,0,0,Joe Flacco pass incomplete deep left intended for Derrick Mason,1.600,1.050
1,5:55,2,10,BAL 40,0,0,Ray Rice left end for 27 yards (tackle by Stanford Routt),1.050,3.380
1,5:20,1,10,OAK 33,0,0,Ray Rice right end for 4 yards (tackle by Kirk Morrison),3.380,3.380
1,4:42,2,6,OAK 29,0,0,Joe Flacco pass complete deep right to Todd Heap for 22 yards (tackle by Thomas Howard),3.380,5.600
1,4:10,,,,0,0,Timeout #1 by Oakland Raiders,0.000,5.600
1,4:10,1,7,OAK 7,0,0,Willis McGahee right guard for 5 yards,5.600,5.720
1,3:50,2,2,OAK 2,6,0,"Willis McGahee left guard for 2 yards, touchdown",5.720,7.000
1,,,,OAK 2,7,0,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 30,7,0,"Billy Cundiff kicks off 62 yards, returned by Marcel Reece for 12 yards (tackle by Jalen Parmele)",0.000,0.280
1,3:42,1,10,OAK 20,7,0,Charlie Frye pass complete short left to Chaz Schilens for 15 yards (tackle by Ed Reed),0.280,1.270
1,3:01,1,10,OAK 35,7,0,Charlie Frye pass incomplete short left intended for Darren McFadden,1.270,0.720
1,2:54,2,10,OAK 35,7,0,Charlie Frye pass complete deep right to Johnnie Lee Higgins for 16 yards (tackle by Dawan Landry),0.720,2.320
1,2:21,1,10,BAL 49,7,0,Darren McFadden right tackle for 2 yards (tackle by Ray Lewis),2.320,2.050
1,1:44,2,8,BAL 47,7,0,"Charlie Frye pass incomplete short left intended for Chaz Schilens (defended by Domonique Foxworth). Penalty on Frank Walker: Illegal Contact, 5 yards (no play)",2.050,2.790
1,1:38,1,10,BAL 42,7,0,Charlie Frye pass incomplete deep right intended for Marcel Reece (defended by Chris Carr),2.790,2.240
1,1:33,2,10,BAL 42,7,0,Michael Bush left end for 3 yards (tackle by Trevor Pryce and Ray Lewis),2.240,1.950
1,0:54,3,7,BAL 39,7,0,Charlie Frye pass complete deep right to Johnnie Lee Higgins for 16 yards (tackle by Ed Reed),1.950,4.040
,,,,,,,"OAK challenged the incomplete pass ruling, and the original play was overturned.",,
1,0:20,1,10,BAL 23,7,0,Charlie Frye pass incomplete deep middle intended for Louis Murphy (defended by Dawan Landry),4.040,3.500
1,0:14,2,10,BAL 23,7,0,Charlie Frye pass complete short right to Zach Miller for 4 yards (tackle by Ray Lewis),3.500,3.340
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,BAL 19,7,0,Charlie Frye pass incomplete deep right intended for Darren McFadden,3.340,2.210
2,14:52,4,6,BAL 19,7,3,Sebastian Janikowski 37 yard field goal good,2.210,3.000
2,,,,OAK 30,7,3,"Sebastian Janikowski kicks off 74 yards, returned by Jalen Parmele for 32 yards (tackle by Hiram Eugene)",0.000,0.810
2,14:43,,,,7,3,Timeout #2 by Oakland Raiders,0.000,0.810
2,14:42,1,10,BAL 28,7,3,Ray Rice left tackle for no gain (tackle by Richard Seymour and Desmond Bryant),0.810,0.260
2,14:04,2,10,BAL 28,7,3,Joe Flacco pass complete short right to Ray Rice for 7 yards (tackle by Matt Shaughnessy),0.260,0.500
2,13:23,3,3,BAL 35,7,3,Joe Flacco pass complete short left to Kelley Washington for 4 yards (tackle by Hiram Eugene),0.500,1.530
2,12:48,1,10,BAL 39,7,3,Ray Rice middle for 4 yards (tackle by Kirk Morrison),1.530,1.530
2,12:11,2,6,BAL 43,7,3,Willis McGahee middle for 1 yard (tackle by Trevor Scott),1.530,0.960
2,11:32,3,5,BAL 44,7,3,Joe Flacco pass complete short right to Ray Rice for 7 yards (tackle by Kirk Morrison),0.960,2.320
2,10:56,1,10,OAK 49,7,3,Joe Flacco sacked by Jay Richardson for 0 yards,2.320,1.780
2,10:08,2,10,OAK 49,7,3,Joe Flacco pass complete short right to Ray Rice for -4 yards (tackle by William Joseph),1.780,0.560
2,9:21,3,14,BAL 47,7,3,Joe Flacco pass incomplete short right intended for Mark Clayton (defended by Richard Seymour),0.560,-0.260
2,9:16,4,14,BAL 47,7,3,"Sam Koch punts 35 yards, fair catch by Johnnie Lee Higgins",-0.260,-0.040
2,9:09,1,10,OAK 18,7,3,Charlie Frye pass complete short middle to Zach Miller for 7 yards (tackle by Terrell Suggs),0.040,0.550
2,8:35,2,3,OAK 25,7,3,Darren McFadden middle for 5 yards (tackle by Ray Lewis),0.550,0.940
2,7:57,1,10,OAK 30,7,3,Charlie Frye pass incomplete short right intended for Chaz Schilens,0.940,0.390
2,7:51,2,10,OAK 30,7,3,Charlie Frye pass complete short middle to Chaz Schilens for 22 yards (tackle by Dawan Landry),0.390,2.390
2,7:00,1,10,BAL 48,7,3,Darren McFadden right guard for 1 yard (tackle by Ray Lewis and Kelly Gregg),2.390,1.980
2,6:20,2,9,BAL 47,7,3,Charlie Frye sacked by Terrell Suggs for -8 yards,1.980,0.230
2,5:40,3,17,OAK 45,7,3,Charlie Frye pass complete short left to Chaz Schilens for 10 yards (tackle by Dawan Landry),0.230,0.270
2,5:30,4,7,BAL 45,7,3,"Penalty on Brandon Myers: False Start, 5 yards (no play)",0.270,-0.060
2,4:37,4,12,,7,3,Shane Lechler punts 45 yards,-0.060,0.380
2,4:27,1,10,BAL 5,7,3,Joe Flacco pass complete short right to Todd Heap for 18 yards (tackle by Hiram Eugene),-0.380,0.480
2,4:08,1,10,BAL 23,13,3,"Willis McGahee middle for 77 yards, touchdown",0.480,7.000
2,,,,OAK 2,14,3,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 30,14,3,"Billy Cundiff kicks off 64 yards, returned by Gary Russell for 15 yards (tackle by Edgar Jones)",0.000,0.340
