Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Wade Richey kicks off 67 yards, returned by Reuben Droughns for 11 yards (tackle by Will Demps). Penalty on Keith Burns: Offensive Holding, 7 yards",0.000,0.380
1,14:57,1,10,DEN 7,0,0,Clinton Portis left tackle for -1 yards (tackle by Adalius Thomas and Kelly Gregg),-0.380,-0.850
1,14:24,2,11,DEN 6,0,0,Danny Kanell pass complete to Rod Smith for 6 yards (tackle by Chris McAlister),-0.850,-0.840
1,13:47,3,5,DEN 12,0,0,Danny Kanell pass incomplete intended for Ashley Lelie,-0.840,-2.490
1,13:39,4,5,DEN 12,0,0,Micah Knorr punts 35 yards. Penalty on DEN: Illegal Touch Kick (Declined),-2.490,-2.460
1,13:28,1,10,DEN 47,0,0,Jamal Lewis right guard for 3 yards (tackle by Darius Holland and Bertrand Berry),2.460,2.320
1,12:56,2,7,DEN 44,0,0,Jamal Lewis left tackle for 12 yards (tackle by Sam Brandon),2.320,3.450
1,12:26,1,10,DEN 32,0,0,Jamal Lewis left guard for 2 yards (tackle by Daryl Gardener and Bertrand Berry),3.450,3.170
1,11:49,2,8,DEN 30,0,0,Jamal Lewis up the middle for 1 yard (tackle by Kenoy Kennedy and Lenny Walls),3.170,2.610
1,11:02,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,2.610
1,11:02,3,7,DEN 29,0,0,Kyle Boller pass complete to Chester Taylor for 2 yards (tackle by Trevor Pryce),2.610,1.720
1,10:26,4,5,DEN 27,0,0,Matt Stover 45 yard field goal no good,1.720,-1.330
1,10:19,1,10,DEN 36,0,0,Rod Smith left end for 2 yards (tackle by Chris McAlister),1.330,1.060
1,9:56,2,8,DEN 38,0,0,Rod Smith right end for 7 yards (tackle by Corey Fuller and Ray Lewis),1.060,1.290
1,9:14,3,1,DEN 45,0,0,Clinton Portis left tackle for 7 yards (tackle by Chris McAlister),1.290,2.390
1,8:38,1,10,BAL 48,0,0,Clinton Portis right tackle for 11 yards (tackle by Gary Baxter),2.390,3.120
1,7:59,1,10,BAL 37,0,0,"Clinton Portis left tackle for 4 yards (tackle by Marques Douglas and Corey Fuller). Penalty on Anthony Weaver: Face Mask (15 Yards), 15 yards",3.120,4.370
1,7:43,1,10,BAL 18,0,0,Clinton Portis left tackle for 3 yards (tackle by Ed Hartwell and Gary Baxter),4.370,4.250
1,6:58,2,7,BAL 15,0,0,Clinton Portis right tackle for 4 yards (tackle by Ed Reed),4.250,4.260
1,6:17,3,3,BAL 11,0,0,Clinton Portis up the middle for 2 yards (tackle by Terrell Suggs and Ray Lewis),4.260,2.980
1,5:35,4,1,BAL 9,3,0,Jason Elam 28 yard field goal good,2.980,3.000
1,,,,DEN 30,3,0,"Micah Knorr kicks off 62 yards, returned by Chester Taylor for 13 yards (tackle by Nick Ferguson)",0.000,0.340
1,5:26,1,10,BAL 21,3,0,Jamal Lewis left tackle for 3 yards (tackle by Daryl Gardener),0.340,0.210
1,4:55,2,7,BAL 24,3,0,Kyle Boller pass complete to Todd Heap for 5 yards (tackle by Lenny Walls),0.210,0.170
1,4:16,3,2,BAL 29,3,0,Kyle Boller pass incomplete intended for Todd Heap,0.170,-1.440
1,4:07,4,2,BAL 29,3,0,"Dave Zastudil punts 55 yards, returned by Rod Smith for 12 yards (tackle by Bart Scott)",-1.440,-0.810
1,3:57,1,10,DEN 28,3,0,Clinton Portis right guard for 2 yards (tackle by Ray Lewis),0.810,0.530
1,3:25,2,8,DEN 30,3,0,Danny Kanell pass incomplete intended for Rod Smith (defended by Ed Hartwell),0.530,-0.160
1,3:13,3,8,DEN 30,3,0,Danny Kanell right end for 9 yards (tackle by Will Demps),-0.160,1.530
1,2:49,1,10,DEN 39,3,0,Clinton Portis left tackle for 1 yard (tackle by Ed Reed),1.530,1.120
1,2:11,2,9,DEN 40,3,0,Danny Kanell pass complete to Ashley Lelie for 8 yards (tackle by Gary Baxter),1.120,1.490
1,1:51,3,1,DEN 48,3,0,Mike Anderson left tackle for no gain (tackle by Cornell Brown),1.490,-0.190
1,1:28,4,1,DEN 48,3,0,Danny Kanell up the middle for no gain (tackle by Kelly Gregg),-0.190,-2.390
1,1:07,1,10,DEN 48,3,0,Kyle Boller pass complete to Alan Ricard for 10 yards (tackle by Jashon Sykes),2.390,3.050
1,0:33,1,10,DEN 38,3,0,Jamal Lewis right guard for 8 yards (tackle by Trevor Pryce),3.050,3.590
Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,DEN 30,3,0,Jamal Lewis left tackle for 1 yard (tackle by Daryl Gardener),3.590,3.010
2,14:18,,,,3,0,Timeout #2 by Baltimore Ravens,0.000,3.010
2,14:18,3,1,DEN 29,3,0,Kyle Boller pass complete to Todd Heap for 16 yards (tackle by Kenoy Kennedy). Penalty on Kelly Herndon: Defensive Holding (Declined),3.010,4.710
2,14:02,1,10,DEN 13,3,0,Jamal Lewis right tackle for 2 yards (tackle by Al Wilson),4.710,4.390
2,13:29,2,8,DEN 11,3,0,Kyle Boller pass incomplete intended for Todd Heap (defended by Al Wilson),4.390,3.450
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
2,13:19,3,8,DEN 11,3,0,Kyle Boller pass complete to Chester Taylor for 8 yards (tackle by Nick Ferguson),3.450,6.510
2,12:55,1,3,DEN 3,3,0,"Penalty on Edwin Mulitalo: False Start, 5 yards (no play)",6.510,5.370
2,12:35,1,8,DEN 8,3,0,"Kyle Boller pass complete to Todd Heap for 7 yards. Penalty on Frank Sanders: Illegal Shift, 5 yards (no play)",5.370,4.530
2,12:16,1,13,DEN 13,3,0,Jamal Lewis left tackle for 3 yards (tackle by Darius Holland and Kenoy Kennedy),4.530,4.190
2,11:32,2,10,DEN 10,3,0,Kyle Boller up the middle for 3 yards (tackle by John Mobley),4.190,3.810
2,10:52,3,7,DEN 7,3,0,Kyle Boller pass incomplete intended for Travis Taylor,3.810,2.970
2,10:44,4,7,DEN 7,3,3,Matt Stover 25 yard field goal good,2.970,3.000
2,,,,BAL 30,3,3,"Wade Richey kicks off 66 yards, returned by Reuben Droughns for 23 yards (tackle by John Jones)",0.000,-0.740
2,10:35,1,10,DEN 27,3,3,Danny Kanell pass incomplete intended for Dwayne Carswell,0.740,0.200
2,10:30,2,10,DEN 27,3,3,Danny Kanell pass incomplete intended for Ashley Lelie,0.200,-0.490
2,10:25,3,10,DEN 27,3,3,"Danny Kanell sacked by Peter Boulware for -11 yards. Danny Kanell fumbles (forced by Peter Boulware), recovered by Cooper Carlisle at DEN-15. Penalty on Matt Lepsis: Disqualification, 7 yards",-0.490,-2.490
2,9:56,4,29,DEN 8,3,3,Micah Knorr punts 32 yards,-2.490,-2.920
2,9:42,1,10,DEN 40,3,3,"Penalty on Bennie Anderson: False Start, 5 yards (no play)",2.920,2.590
2,9:42,1,15,DEN 45,3,3,Kyle Boller pass incomplete intended for Terry Jones,2.590,1.700
2,9:39,2,15,DEN 45,3,3,Kyle Boller pass complete to Jamal Lewis for 7 yards (tackle by Kelly Herndon),1.700,1.950
2,9:17,3,8,DEN 38,3,3,"Kyle Boller left end for 5 yards (tackle by Lenny Walls). Penalty on Lenny Walls: Personal Foul, 15 yards",1.950,4.370
2,8:41,1,10,DEN 18,3,3,Jamal Lewis up the middle for 3 yards (tackle by Trevor Pryce and Kenoy Kennedy),4.370,4.250
2,8:10,2,7,DEN 15,3,3,Kyle Boller pass incomplete intended for Marcus Robinson,4.250,3.460
2,8:05,3,7,DEN 15,3,3,Kyle Boller sacked by Bertrand Berry and Reggie Hayward for -6 yards,3.460,2.060
2,7:45,4,13,DEN 21,3,6,Matt Stover 39 yard field goal good,2.060,3.000
2,,,,BAL 30,3,6,"Wade Richey kicks off 69 yards, returned by Reuben Droughns for 31 yards (tackle by John Jones)",0.000,-1.070
2,7:35,1,10,DEN 32,3,6,Clinton Portis right tackle for -2 yards (tackle by Ed Hartwell),1.070,0.260
2,7:00,2,12,DEN 30,3,6,Danny Kanell pass complete to Rod Smith for 7 yards (tackle by Peter Boulware),0.260,0.500
2,6:22,3,5,DEN 37,3,6,Danny Kanell pass incomplete intended for Ashley Lelie,0.500,-0.910
2,6:16,4,5,DEN 37,3,6,"Micah Knorr punts 32 yards, returned by Dedric Ward for 10 yards (tackle by Donnie Spragan)",-0.910,-1.660
2,6:06,1,10,BAL 41,3,6,Jamal Lewis left guard for 7 yards (tackle by Jashon Sykes and Kenoy Kennedy),1.660,2.070
2,5:35,2,3,BAL 48,3,6,Jamal Lewis left tackle for 5 yards (tackle by Trevor Pryce and Monsanto Pope),2.070,2.460
2,4:54,1,10,DEN 47,3,6,Kyle Boller pass complete to Terry Jones for 4 yards (tackle by Lenny Walls),2.460,2.450
2,4:30,2,6,DEN 43,3,6,Jamal Lewis left guard for 3 yards (tackle by Reggie Hayward and Kenoy Kennedy),2.450,2.150
2,3:55,3,3,DEN 40,3,6,Kyle Boller pass complete to Travis Taylor for 5 yards (tackle by Lenny Walls),2.150,3.250
2,3:30,1,10,DEN 35,3,6,Jamal Lewis left guard for 6 yards (tackle by Mario Fatafehi),3.250,3.510
2,2:52,2,4,DEN 29,3,6,Jamal Lewis left tackle for 3 yards (tackle by Al Wilson),3.510,3.200
2,2:12,3,1,DEN 26,3,6,Chester Taylor left end for 2 yards (tackle by Al Wilson),3.200,3.970
2,2:00,1,10,DEN 24,3,6,Chester Taylor left end for 4 yards (tackle by Al Wilson),3.970,3.970
2,1:55,2,6,DEN 20,3,6,Kyle Boller pass complete to Jamal Lewis for 10 yards (tackle by Nick Ferguson),3.970,4.910
2,1:37,,,,3,6,Timeout #1 by Denver Broncos,0.000,4.910
2,1:37,1,10,DEN 10,3,6,Jamal Lewis left tackle for 8 yards (tackle by Nick Ferguson),4.910,5.720
2,1:12,2,2,DEN 2,3,6,Jamal Lewis right tackle for 1 yard (tackle by Darius Holland and Kenoy Kennedy),5.720,5.170
2,0:44,,,,3,6,Timeout #2 by Denver Broncos,0.000,5.170
2,0:44,3,1,DEN 1,3,6,"Jamal Lewis right guard for no gain (tackle by Donnie Spragan and Jashon Sykes). Jamal Lewis fumbles (forced by Donnie Spragan), recovered by Jamal Lewis at DEN-4",5.170,3.030
2,0:03,,,,3,6,Timeout #3 by Baltimore Ravens,0.000,3.030
