Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,KAN 25,0,0,Alex Smith pass complete short right to Anthony Sherman for no gain,0.610,0.060
1,14:24,2,10,KAN 25,0,0,Alex Smith pass complete short right to Travis Kelce for 10 yards (tackle by Kenny Vaccaro),0.060,1.270
1,13:41,1,10,KAN 35,0,0,Spencer Ware right end for 2 yards (tackle by Darryl Tapp and Craig Robertson),1.270,0.990
1,13:04,2,8,KAN 37,0,0,Spencer Ware right end for 11 yards (tackle by Nathan Stupar),0.990,2.130
1,12:24,1,10,KAN 48,0,0,Spencer Ware left end for 12 yards (tackle by Vonn Bell),2.130,2.920
1,11:49,1,10,NOR 40,0,0,Charcandrick West middle for 2 yards (tackle by Tyeler Davison),2.920,2.640
1,11:08,2,8,NOR 38,0,0,Alex Smith pass incomplete deep middle intended for Jeremy Maclin,2.640,1.950
1,11:02,3,8,NOR 38,0,0,Alex Smith pass incomplete deep left intended for Demetrius Harris,1.950,0.720
1,10:56,4,8,NOR 38,0,0,"Dustin Colquitt punts 38 yards, touchback",0.720,-0.280
1,10:47,1,10,NOR 20,0,0,Mark Ingram middle for 7 yards (tackle by Eric Berry),0.280,0.680
1,10:17,2,3,NOR 27,0,0,Mark Ingram middle for 5 yards (tackle by Jaye Howard),0.680,1.070
1,9:45,1,10,NOR 32,0,0,Drew Brees pass incomplete short left intended for Michael Thomas (defended by D.J. White),1.070,0.530
1,9:42,2,10,NOR 32,0,0,Drew Brees pass complete short left to Michael Thomas for 16 yards (tackle by Steven Nelson),0.530,2.130
1,9:12,1,10,NOR 48,0,0,Mark Ingram middle for 5 yards (tackle by Jaye Howard),2.130,2.260
1,8:40,2,5,KAN 47,0,0,Mark Ingram left end for 2 yards (tackle by Daniel Sorensen),2.260,1.820
1,8:08,3,3,KAN 45,0,0,Drew Brees pass complete short right to Willie Snead for 7 yards (tackle by Steven Nelson),1.820,3.050
1,7:32,1,10,KAN 38,0,0,Drew Brees pass complete deep right to Willie Snead for 17 yards (tackle by Steven Nelson),3.050,4.170
