Quarter,Time,Down,ToGo,Location,PHI,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Kyler Murray pass complete short middle to Larry Fitzgerald for 15 yards (tackle by Nickell Robey-Coleman),0.610,1.600
1,14:35,1,10,ARI 40,0,0,Kenyan Drake left tackle for 2 yards (tackle by Fletcher Cox),1.600,1.320
1,14:09,2,8,ARI 42,0,0,Kyler Murray pass complete short right to Christian Kirk for 16 yards (tackle by Alex Singleton and Nickell Robey-Coleman),1.320,2.790
1,13:37,,,,,,Timeout #1 by Philadelphia Eagles,,
1,13:37,1,10,PHI 42,0,0,Kyler Murray pass complete short right to Kenyan Drake for 6 yards (tackle by Kevon Seymour),2.790,3.050
1,13:06,2,4,PHI 36,0,0,Kyler Murray left end for 1 yard (tackle by Nickell Robey-Coleman),3.050,2.480
1,12:37,3,3,PHI 35,0,0,"Kyler Murray pass complete short left to Chase Edmonds for 8 yards (tackle by Jalen Mills). Penalty on Dan Arnold: Offensive Pass Interference, 10 yards (no play)",2.480,1.160
1,12:17,3,13,PHI 45,0,0,"Kyler Murray pass complete short right to Dan Arnold for 10 yards (tackle by Nickell Robey-Coleman). Penalty on Kevon Seymour: Unnecessary Roughness, 15 yards",1.160,4.240
1,11:52,1,10,PHI 20,0,0,Chase Edmonds up the middle for 6 yards (tackle by Alex Singleton and Fletcher Cox),4.240,4.640
1,11:20,2,4,PHI 14,0,0,Kyler Murray up the middle for 5 yards (tackle by Javon Hargrave),4.640,5.140
1,10:32,1,9,PHI 9,0,0,"Kyler Murray pass complete short left to DeAndre Hopkins for 1 yard (tackle by Michael Jacquet). DeAndre Hopkins fumbles (forced by Michael Jacquet), recovered by Alex Singleton at PHI-8",5.140,0.380
1,10:22,1,10,PHI 8,0,0,Miles Sanders up the middle for 2 yards (tackle by De'Vondre Campbell and Markus Golden),-0.380,-0.630
1,9:47,2,8,PHI 10,0,0,Jalen Hurts pass incomplete short left intended for Greg Ward,-0.630,-1.190
1,9:40,3,8,PHI 10,0,2,"Jalen Hurts pass incomplete deep right. Penalty on Jalen Hurts: Intentional Grounding, 10 yards",-1.190,-2.000
1,9:34,,,PHI 20,0,2,"Cameron Johnston kicks off 60 yards, returned by Christian Kirk for 20 yards (tackle by Shaun Bradley)",0.000,1.600
1,9:28,1,10,ARI 40,0,2,Kenyan Drake right tackle for -1 yards (tackle by Malik Jackson),1.600,0.920
1,8:59,2,11,ARI 39,0,2,Kyler Murray pass incomplete deep left intended for DeAndre Hopkins (defended by Michael Jacquet),0.920,0.230
1,8:52,3,11,ARI 39,0,2,Kyler Murray pass incomplete short middle intended for Chase Edmonds,0.230,-0.780
1,8:47,4,11,ARI 39,0,2,"Andy Lee punts 61 yards, touchback.",-0.780,-0.280
1,8:40,1,10,PHI 20,0,2,Miles Sanders up the middle for 8 yards (tackle by Isaiah Simmons),0.280,0.810
1,8:06,2,2,PHI 28,0,2,Miles Sanders up the middle for 1 yard (tackle by Byron Murphy),0.810,0.230
