Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 63 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Justin Strnad)",0.000,-0.380
1,14:54,1,10,SFO 10,0,0,Jeff Wilson right tackle for 2 yards (tackle by DeShawn Williams),-0.380,-0.630
1,14:21,2,8,SFO 12,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 13 yards (tackle by K'Waun Williams and Kareem Jackson),-0.630,0.610
1,13:41,1,10,SFO 25,0,0,Deebo Samuel left tackle for 1 yard (tackle by Mike Purcell),0.610,0.200
1,13:08,2,9,SFO 26,0,0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk (defended by Patrick Surtain),0.200,-0.490
1,13:01,3,9,SFO 26,0,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by D.J. Jones),-0.490,-1.630
1,12:57,4,9,SFO 26,0,0,Mitch Wishnowsky punts 45 yards,-1.630,-0.870
1,12:50,1,10,DEN 29,0,0,Russell Wilson pass complete short right to Javonte Williams for 2 yards (tackle by Dre Greenlaw),0.870,0.600
1,12:25,2,8,DEN 31,0,0,Javonte Williams left guard for no gain (tackle by Dre Greenlaw and Kevin Givens),0.600,-0.100
1,12:01,3,8,DEN 31,0,0,Russell Wilson pass complete short left to Jerry Jeudy for 1 yard (tackle by Deommodore Lenoir and Fred Warner),-0.100,-1.240
1,11:20,4,7,DEN 32,0,0,"Corliss Waitman punts 47 yards, returned by Ray-Ray McCloud for 4 yards (tackle by Alex Singleton)",-1.240,-0.610
1,11:07,1,10,SFO 25,0,0,Jimmy Garoppolo pass complete deep middle to Brandon Aiyuk for 20 yards (tackle by Kareem Jackson),0.610,1.930
1,10:36,1,10,SFO 45,0,0,Jeff Wilson left tackle for 37 yards (tackle by Patrick Surtain),1.930,4.370
1,9:49,1,10,DEN 18,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 9 yards (tackle by Caden Sterns and Josey Jewell),4.370,5.420
1,9:16,2,1,DEN 9,0,0,Jeff Wilson left guard for 1 yard (tackle by Josey Jewell),5.420,5.370
1,8:42,1,8,DEN 8,0,0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 5 yards (tackle by Ronald Darby),5.370,5.530
1,7:58,2,3,DEN 3,6,0,"Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 3 yards, touchdown",5.530,7.000
1,7:56,,,DEN 15,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,7:56,,,SFO 35,7,0,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
1,7:56,1,10,DEN 25,7,0,Javonte Williams right guard for 3 yards (tackle by Fred Warner),0.610,0.470
1,7:24,2,7,DEN 28,7,0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.470,-0.230
1,7:19,3,7,DEN 28,7,0,"Penalty on Samson Ebukam: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.230,0.430
1,7:19,3,2,DEN 33,7,0,Russell Wilson pass incomplete short middle intended for Albert Okwuegbunam,0.430,-1.180
