Quarter,Time,Tm,Detail,KAN,GNB
1.0,9:44,Packers,Ty Montgomery 8 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,2:18,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,12:02,Chiefs,Jamaal Charles 9 yard rush (Cairo Santos kick),7,14
,6:15,Packers,Mason Crosby 44 yard field goal,7,17
,0:56,Packers,James Jones 27 yard pass from Aaron Rodgers (Mason Crosby kick),7,24
3.0,7:18,Packers,Randall Cobb 4 yard pass from Aaron Rodgers (Mason Crosby kick),7,31
,0:56,Chiefs,Jeremy Maclin 5 yard pass from Alex Smith (Cairo Santos kick),14,31
4.0,12:10,Packers,Randall Cobb 4 yard pass from Aaron Rodgers (Mason Crosby kick),14,38
,9:56,Chiefs,Jamaal Charles 4 yard rush (Travis Kelce pass from Alex Smith),22,38
,1:25,Chiefs,Jamaal Charles 7 yard rush (pass failed),28,38
