Quarter,Time,Tm,Detail,STL,BUF
1.0,4:50,Rams,Jeff Wilkins 41 yard field goal,3,0
,2:48,Rams,Isaac Bruce 18 yard pass from Marc Bulger (Jeff Wilkins kick),10,0
2.0,13:56,Bills,Mark Campbell 10 yard pass from Drew Bledsoe (Rian Lindell kick),10,7
,11:01,Bills,Mark Campbell 19 yard pass from Drew Bledsoe (Rian Lindell kick),10,14
,3:05,Rams,Torry Holt 11 yard pass from Marc Bulger (Jeff Wilkins kick),17,14
,0:34,Bills,Rian Lindell 21 yard field goal,17,17
3.0,13:43,Bills,Mark Campbell 5 yard pass from Drew Bledsoe (Rian Lindell kick),17,24
,11:12,Bills,Nate Clements 86 yard punt return (Rian Lindell kick),17,31
,8:03,Bills,Rian Lindell 35 yard field goal,17,34
,1:25,Bills,Rian Lindell 33 yard field goal,17,37
