Quarter,Time,Tm,Detail,OAK,SFO
1.0,7:26,49ers,Arnaz Battle 4 yard pass from Alex Smith (Joe Nedney kick),0,7
,0:40,Raiders,Sebastian Janikowski 33 yard field goal,3,7
2.0,13:59,Raiders,Sebastian Janikowski 36 yard field goal,6,7
,0:51,Raiders,Randy Moss 22 yard pass from Andrew Walter (Sebastian Janikowski kick),13,7
3.0,12:25,49ers,Arnaz Battle 6 yard pass from Alex Smith (Joe Nedney kick),13,14
,3:24,49ers,Maurice Hicks 33 yard pass from Alex Smith (Joe Nedney kick),13,21
4.0,10:42,49ers,Joe Nedney 19 yard field goal,13,24
,10:30,49ers,Melvin Oliver 12 yard defensive fumble return (Joe Nedney kick),13,31
,6:23,Raiders,Courtney Anderson 8 yard pass from Marques Tuiasosopo (Sebastian Janikowski kick),20,31
,3:49,49ers,Joe Nedney 39 yard field goal,20,34
