Quarter,Time,Tm,Detail,SDG,NYJ
1.0,7:44,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),7,0
,2:21,Chargers,LaDainian Tomlinson 25 yard pass from Drew Brees (Nate Kaeding kick),14,0
2.0,14:57,Jets,Curtis Martin 1 yard rush (Mike Nugent kick),14,7
,7:54,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),21,7
,3:37,Jets,Mike Nugent 35 yard field goal,21,10
3.0,11:10,Jets,Mike Nugent 22 yard field goal,21,13
,3:51,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),28,13
4.0,12:27,Jets,Jerald Sowell 5 yard pass from Brooks Bollinger (Mike Nugent kick),28,20
,8:35,Chargers,Nate Kaeding 18 yard field goal,31,20
,6:14,Jets,Laveranues Coles 8 yard pass from Brooks Bollinger (pass failed),31,26
