Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Deatrich Wise),0.610,0.870
1,14:26,2,4,NYG 31,0,0,Saquon Barkley right tackle for 14 yards (tackle by Jabrill Peppers),0.870,1.930
1,13:52,1,10,NYG 45,0,0,Tommy DeVito pass complete deep right to Jalin Hyatt for 29 yards,1.930,3.840
1,13:14,1,10,NWE 26,0,0,Matt Breida right end for no gain (tackle by J.C. Jackson),3.840,3.300
1,12:33,2,10,NWE 26,0,0,"Tommy DeVito aborted snap, recovered by Jabrill Peppers at NE-26",3.300,-0.670
1,12:29,1,10,NWE 26,0,0,Rhamondre Stevenson up the middle for 6 yards (tackle by Bobby Okereke),0.670,0.940
1,11:54,2,4,NWE 32,0,0,Rhamondre Stevenson right end for 2 yards (tackle by Bobby Okereke),0.940,0.500
1,11:04,3,2,NWE 34,0,0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",0.500,-0.160
1,11:03,3,7,NWE 29,0,0,Mac Jones pass incomplete short right intended for DeVante Parker (defended by Adoree' Jackson),-0.160,-1.440
1,10:55,4,7,NWE 29,0,0,"Bryce Baringer punts 53 yards, returned by Gunner Olszewski for 6 yards (tackle by Cody Davis)",-1.440,-0.540
1,10:44,1,10,NYG 24,0,0,Tommy DeVito pass complete deep left to Jalin Hyatt for 22 yards (tackle by Kyle Dugger),0.540,1.990
1,10:08,1,10,NYG 46,0,0,Tommy DeVito sacked by Jabrill Peppers for -7 yards,1.990,0.510
1,9:28,2,17,NYG 39,0,0,Tommy DeVito pass incomplete short left intended for Saquon Barkley,0.510,-0.160
1,9:24,3,17,NYG 39,0,0,Tommy DeVito pass incomplete short left intended for Wan'Dale Robinson,-0.160,-0.780
1,9:19,4,17,NYG 39,0,0,"Jamie Gillan punts 48 yards, recovered by Demario Douglas at NE-13 (tackle by Carter Coughlin)",-0.780,-0.280
1,9:10,1,10,NWE 20,0,0,Mac Jones pass complete short left to DeVante Parker for 19 yards (tackle by Dane Belton),0.280,1.530
1,8:29,1,10,NWE 39,0,0,Mac Jones pass incomplete short left intended for Mike Gesicki (defended by Xavier McKinney),1.530,0.990
1,8:23,2,10,NWE 39,0,0,Ezekiel Elliott right guard for 6 yards (tackle by Jason Pinnock and Adoree' Jackson),0.990,1.090
1,7:45,3,4,NWE 45,0,0,Mac Jones pass complete short right to Ezekiel Elliott for 5 yards (tackle by Adoree' Jackson),1.090,2.260
1,6:59,1,10,NWE 50,0,0,Mac Jones pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Adoree' Jackson and Micah McFadden),2.260,2.520
1,6:32,2,4,NYG 44,0,0,Rhamondre Stevenson up the middle for 4 yards (tackle by Kayvon Thibodeaux),2.520,2.920
1,5:53,1,10,NYG 40,0,0,Mac Jones pass incomplete short left intended for Demario Douglas,2.920,2.370
1,5:52,2,10,NYG 40,0,0,Rhamondre Stevenson up the middle for 3 yards (tackle by A'Shawn Robinson and Xavier McKinney),2.370,2.080
