Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Toby Gowin kicks off 63 yards, returned by J.J. Moses for 20 yards (tackle by Rashad Washington)",0.000,0.740
1,14:55,1,10,HOU 27,0,0,Domanick Williams right end for 4 yards (tackle by Jonathan Vilma and John Abraham),0.740,0.740
1,14:17,2,6,HOU 31,0,0,Domanick Williams right tackle for 2 yards (tackle by Shaun Ellis and Mark Brown),0.740,0.300
1,13:39,3,4,HOU 33,0,0,David Carr pass complete to Jabar Gaffney for 13 yards (tackle by David Barrett),0.300,1.990
1,12:55,1,10,HOU 46,0,0,David Carr for 11 yards (tackle by Shaun Ellis),1.990,2.720
1,12:26,1,10,NYJ 43,0,0,Domanick Williams left tackle for 4 yards (tackle by Dewayne Robertson and Jonathan Vilma),2.720,2.720
1,11:49,2,6,NYJ 39,0,0,Andre Johnson right end for 6 yards (tackle by Donnie Abraham),2.720,3.380
1,11:20,1,10,NYJ 33,0,0,David Carr pass complete to Domanick Williams for 4 yards (tackle by David Barrett),3.380,3.380
1,10:35,2,6,NYJ 29,0,0,"David Carr for no gain. David Carr fumbles, recovered by Andre Johnson at NYJ-31",3.380,2.410
1,10:12,3,8,NYJ 31,0,0,David Carr sacked by James Reed for -2 yards,2.410,1.150
1,9:37,,,,0,0,Timeout #1 by Houston Texans,0.000,1.150
1,9:37,4,10,NYJ 33,0,0,David Carr pass incomplete intended for Andre Johnson (defended by David Barrett),1.150,-1.140
1,9:30,1,10,NYJ 33,0,0,Chad Pennington pass complete to Justin McCareins for 11 yards (tackle by Aaron Glenn),1.140,1.860
1,8:50,1,10,NYJ 44,0,0,Chad Pennington pass complete to Wayne Chrebet for 16 yards (tackle by Jay Foreman),1.860,2.920
1,8:17,1,10,HOU 40,0,0,Curtis Martin left tackle for 3 yards (tackle by Seth Payne),2.920,2.780
1,7:44,2,7,HOU 37,0,0,Curtis Martin right tackle for 4 yards (tackle by Gary Walker),2.780,2.610
1,7:08,3,3,HOU 33,0,0,Chad Pennington pass complete to Justin McCareins for 8 yards (tackle by Dunta Robinson),2.610,3.910
1,6:29,1,10,HOU 25,0,0,Curtis Martin left guard for 1 yard (tackle by Jay Foreman),3.910,3.500
1,5:54,2,9,HOU 24,0,0,Chad Pennington pass complete to LaMont Jordan for -1 yards (tackle by Jay Foreman),3.500,2.680
1,5:14,3,10,HOU 25,0,0,Chad Pennington pass complete to Curtis Martin for 2 yards (tackle by Robaire Smith),2.680,1.930
1,5:14,4,8,HOU 23,0,3,Doug Brien 41 yard field goal good,1.930,3.000
1,,,,NYJ 30,0,3,"Toby Gowin kicks off 55 yards, returned by Jonathan Wells for 18 yards (tackle by Oliver Celestin)",0.000,1.140
1,4:24,1,10,HOU 33,0,3,David Carr pass complete to Andre Johnson for 7 yards (tackle by David Barrett),1.140,1.540
1,3:55,2,3,HOU 40,0,3,"Domanick Williams right tackle for 60 yards. Penalty on Mark Bruener: Offensive Holding, 10 yards (no play)",1.540,0.190
1,3:47,2,13,HOU 30,0,3,Jonathan Wells left end for 9 yards (tackle by Jonathan Vilma),0.190,0.700
1,3:05,3,4,HOU 39,0,3,David Carr pass complete to Andre Johnson for 19 yards (tackle by Reggie Tongue),0.700,2.790
1,2:38,1,10,NYJ 42,0,3,Domanick Williams left tackle for 5 yards (tackle by Mark Brown),2.790,2.920
1,1:58,2,5,NYJ 37,0,3,David Carr pass complete to Moran Norris for no gain,2.920,2.210
1,1:16,3,5,NYJ 37,0,3,David Carr pass incomplete intended for Billy Miller (defended by Reggie Tongue),2.210,0.790
1,1:11,4,5,NYJ 37,0,3,David Carr pass incomplete intended for Andre Johnson (defended by Erik Coleman),0.790,-1.400
1,1:06,1,10,NYJ 37,0,3,Curtis Martin right end for 5 yards (tackle by Jason Babin),1.400,1.530
1,0:32,2,5,NYJ 42,0,3,Chad Pennington pass complete to Jerald Sowell for 18 yards (tackle by Marcus Coleman),1.530,2.920
Quarter,Time,Down,ToGo,Location,HOU,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 40,0,3,"Chad Pennington pass complete to Anthony Becht for 13 yards (tackle by Jay Foreman). Penalty on Anthony Becht: Offensive Pass Interference, 10 yards (no play)",2.920,2.260
2,14:35,1,20,NYJ 50,0,3,Curtis Martin left tackle for 8 yards (tackle by Jamie Sharper and Jay Foreman),2.260,2.100
2,13:58,2,12,HOU 42,0,3,Curtis Martin left end for 15 yards (tackle by Dunta Robinson),2.100,3.780
2,13:18,1,10,HOU 27,0,3,Curtis Martin left guard for 4 yards (tackle by Jamie Sharper and Gary Walker),3.780,3.770
2,12:42,2,6,HOU 23,0,3,Chad Pennington pass complete to Jerald Sowell for 7 yards (tackle by Jamie Sharper),3.770,4.510
2,11:56,1,10,HOU 16,0,3,LaMont Jordan up the middle for 5 yards (tackle by Jamie Sharper),4.510,4.760
2,11:21,2,5,HOU 11,0,3,Curtis Martin right tackle for 4 yards (tackle by Glenn Earl),4.760,4.850
2,10:47,3,1,HOU 7,0,3,Curtis Martin right end for -1 yards (tackle by Seth Payne),4.850,2.990
2,10:19,4,2,HOU 8,0,6,Doug Brien 26 yard field goal good,2.990,3.000
2,,,,NYJ 30,0,6,"Toby Gowin kicks off 61 yards, returned by J.J. Moses for 16 yards (tackle by Jon McGraw)",0.000,0.610
2,10:07,1,10,HOU 25,0,6,Domanick Williams left tackle for 5 yards (tackle by Dewayne Robertson and Shaun Ellis),0.610,0.740
2,9:28,2,5,HOU 30,0,6,David Carr pass incomplete intended for Andre Johnson (defended by David Barrett),0.740,0.040
2,9:22,3,5,HOU 30,0,6,David Carr pass complete to Jabar Gaffney for 8 yards (tackle by Donnie Abraham),0.040,1.470
2,8:41,1,10,HOU 38,0,6,David Carr pass complete to Andre Johnson for 37 yards (tackle by Reggie Tongue),1.470,3.910
2,8:09,1,10,NYJ 25,0,6,Domanick Williams right tackle for 3 yards (tackle by Trevor Johnson),3.910,3.770
2,7:28,2,7,NYJ 22,0,6,Domanick Williams right tackle for 6 yards (tackle by Trevor Johnson),3.770,4.060
