Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 70 yards, returned by Andre' Davis for 25 yards (tackle by Brandon Middleton)",0.000,0.610
1,14:54,1,10,HOU 25,0,0,Matt Schaub pass complete short middle to Andre Johnson for 5 yards (tackle by Ernie Sims),0.610,0.740
1,14:16,2,5,HOU 30,0,0,Matt Schaub pass complete short middle to Owen Daniels for 11 yards (tackle by Daniel Bullocks),0.740,1.660
1,13:36,1,10,HOU 41,0,0,Steve Slaton right tackle for 37 yards (tackle by Dwight Smith),1.660,4.110
1,12:51,1,10,DET 22,0,0,Matt Schaub pass complete short left to Steve Slaton for no gain,4.110,3.560
1,12:08,2,10,DET 22,0,0,Steve Slaton right tackle for 3 yards (tackle by Jared DeVries and Dewayne White),3.560,3.260
1,11:35,3,7,DET 19,0,0,Matt Schaub pass complete short right to Andre Johnson for 17 yards (tackle by Dwight Smith),3.260,6.740
1,10:55,1,2,DET 2,0,6,"Matt Schaub pass complete short middle to Owen Daniels for 2 yards, touchdown",6.740,7.000
1,,,,DET 2,0,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,0,7,"Kris Brown kicks off 67 yards, returned by Brandon Middleton for 20 yards (tackle by Nick Ferguson)",0.000,0.480
1,10:42,1,10,DET 23,0,7,Rudi Johnson right tackle for no gain (tackle by Will Demps),0.480,-0.070
1,10:05,2,10,DET 23,0,7,Dan Orlovsky sacked by Zach Diles for -9 yards,-0.070,-2.340
1,9:30,3,19,DET 14,0,7,Dan Orlovsky pass incomplete short right intended for Mike Furrey,-2.340,-2.470
1,9:23,4,19,DET 14,0,7,"Nick Harris punts 45 yards, returned by Jacoby Jones for -13 yards (tackle by Ryan Nece)",-2.470,-0.810
1,9:09,1,10,HOU 28,0,7,"Penalty on Shaun Cody: Encroachment, 5 yards (no play)",0.810,1.540
1,9:09,1,5,HOU 33,0,7,Matt Schaub pass complete deep middle to Andre Johnson for 16 yards (tackle by Brian Kelly),1.540,2.190
1,8:34,1,10,HOU 49,0,7,Matt Schaub pass complete short left to Andre Johnson for 6 yards (tackle by Brian Kelly),2.190,2.460
1,7:57,2,4,DET 45,0,7,Ahman Green right guard for 9 yards (tackle by Dewayne White),2.460,3.180
1,7:20,1,10,DET 36,0,7,Matt Schaub pass complete short left to Andre' Davis for 15 yards (tackle by Cliff Avril),3.180,4.170
1,6:48,1,10,DET 21,0,7,Matt Schaub pass incomplete short middle intended for Owen Daniels,4.170,3.630
1,6:42,2,10,DET 21,0,7,Ahman Green right end for 4 yards (tackle by Paris Lenon),3.630,3.460
1,6:00,3,6,DET 17,0,7,"Matt Schaub pass incomplete deep right intended for Andre Johnson. Penalty on Leigh Bodden: Defensive Pass Interference, 16 yards (no play)",3.460,6.970
1,5:53,1,1,DET 1,0,7,Matt Schaub pass incomplete short left intended for Vonta Leach,6.970,5.910
1,5:48,2,1,DET 1,0,13,"Ahman Green left guard for 1 yard, touchdown",5.910,7.000
1,,,,DET 2,0,14,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,0,14,"Kris Brown kicks off 72 yards, returned by Brandon Middleton for 20 yards (tackle by Nick Ferguson)",0.000,0.040
1,5:38,1,10,DET 18,0,14,Rudi Johnson left tackle for 1 yard (tackle by Anthony Weaver),0.040,-0.320
1,4:58,2,9,DET 19,0,14,Dan Orlovsky pass complete short right to Mike Furrey for 9 yards (tackle by DelJuan Robinson),-0.320,0.810
1,4:33,1,10,DET 28,0,14,Dan Orlovsky pass incomplete deep middle intended for Shaun McDonald (defended by Jacques Reeves),0.810,0.260
1,4:24,2,10,DET 28,0,14,"Dan Orlovsky for no gain. Dan Orlovsky fumbles, recovered by Calvin Johnson at DET-21",0.260,-1.350
1,3:39,3,17,DET 21,0,14,Kevin Smith left guard for 3 yards (tackle by Earl Cochran and Tim Bulman),-1.350,-1.770
1,3:05,4,14,DET 24,0,14,"Nick Harris punts 51 yards, returned by Jacoby Jones for 1 yard (tackle by Ramzee Robinson)",-1.770,-0.670
1,2:53,1,10,HOU 26,0,14,Steve Slaton left guard for 11 yards (tackle by Ikaika Alama-Francis),0.670,1.400
1,2:16,1,10,HOU 37,0,14,Matt Schaub sacked by Ikaika Alama-Francis and Ryan Nece for 0 yards,1.400,0.860
1,1:42,,,,0,14,Timeout #1 by Houston Texans,0.000,0.860
1,1:42,2,10,HOU 37,0,14,Matt Schaub pass complete short middle to Owen Daniels for 9 yards (tackle by Kalvin Pearson),0.860,1.360
1,1:04,3,1,HOU 46,0,14,Steve Slaton left tackle for 2 yards (tackle by Cory Redding),1.360,2.130
1,0:20,1,10,HOU 48,0,14,Steve Slaton right tackle for 1 yard (tackle by Jared DeVries and Daniel Bullocks),2.130,1.720
Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,HOU 49,0,14,Matt Schaub pass complete short right to Andre Johnson for 11 yards (tackle by Daniel Bullocks),1.720,2.920
2,14:21,1,10,DET 40,0,14,Matt Schaub pass complete deep left to Owen Daniels for 25 yards (tackle by Brian Kelly),2.920,4.580
2,13:46,1,10,DET 15,0,14,Steve Slaton right end for 5 yards (tackle by Daniel Bullocks),4.580,4.840
2,13:02,2,5,DET 10,0,14,Steve Slaton right end for 9 yards (tackle by Cliff Avril),4.840,6.970
2,12:18,1,1,DET 1,0,20,"Steve Slaton left guard for 1 yard, touchdown",6.970,7.000
2,,,,DET 2,0,21,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,0,21,"Kris Brown kicks off 67 yards, returned by Brandon Middleton for 16 yards (tackle by Antwaun Molden)",0.000,0.150
2,12:07,1,10,DET 19,0,21,Rudi Johnson right end for 1 yard (tackle by DeMeco Ryans and Brandon Harrison),0.150,-0.200
2,11:30,2,9,DET 20,0,21,Dan Orlovsky pass incomplete short right intended for Casey Fitzsimmons (defended by Zach Diles),-0.200,-0.940
2,11:26,3,9,DET 20,0,21,Dan Orlovsky up the middle for 10 yards (tackle by Will Demps),-0.940,0.940
