Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CAR 25,0,0,Sam Darnold pass complete short right to Ian Thomas for 15 yards (tackle by Justin Simmons),0.610,1.600
1,14:19,1,10,CAR 40,0,0,D'Onta Foreman up the middle for 1 yard (tackle by DeShawn Williams),1.600,1.190
1,13:41,2,9,CAR 41,0,0,D'Onta Foreman left tackle for 3 yards (tackle by D.J. Jones),1.190,0.890
1,12:57,3,6,CAR 44,0,0,Sam Darnold pass incomplete deep left intended for D.J. Moore,0.890,-0.460
1,12:49,4,6,CAR 44,0,0,Johnny Hekker punts 51 yards downed by Raheem Blackshear,-0.460,0.380
1,12:40,1,10,DEN 5,0,0,Russell Wilson pass complete short right to Montrell Washington for -3 yards (tackle by Sam Franklin),-0.380,-1.000
1,12:00,2,13,DEN 2,0,0,Latavius Murray right guard for 2 yards (tackle by Frankie Luvu),-1.000,-1.540
1,11:22,3,11,DEN 4,0,0,Russell Wilson pass incomplete short right intended for Brandon Johnson (defended by Marquis Haynes),-1.540,-2.490
1,11:19,4,11,DEN 4,0,0,"Corliss Waitman punts 58 yards, returned by Raheem Blackshear for 21 yards (tackle by Alex Singleton and P.J. Locke)",-2.490,-2.850
1,11:05,1,10,DEN 41,0,0,"D'Onta Foreman left guard for no gain (tackle by Alex Singleton). Penalty on Brady Christensen: Offensive Holding, 10 yards (accepted) (no play)",2.850,2.190
1,10:35,1,20,CAR 49,0,0,Sam Darnold pass incomplete short left intended for Raheem Blackshear,2.190,0.960
1,10:31,2,20,CAR 49,0,0,Chuba Hubbard left guard for 2 yards (tackle by D.J. Jones),0.960,0.560
1,9:47,3,18,DEN 49,0,0,Sam Darnold pass incomplete deep right,0.560,0.000
1,9:40,4,18,DEN 49,0,0,"Johnny Hekker punts 37 yards, fair catch by Montrell Washington at DEN-12",0.000,0.350
1,9:33,1,10,DEN 12,0,0,Latavius Murray up the middle for 3 yards (tackle by Derrick Brown),-0.350,-0.500
1,9:06,2,7,DEN 15,0,0,Russell Wilson pass complete short left to Kendall Hinton for 4 yards (tackle by C.J. Henderson),-0.500,-0.600
1,8:18,3,3,DEN 19,0,0,Russell Wilson pass complete short right to Kendall Hinton for 2 yards (tackle by Jeremy Chinn),-0.600,-1.960
1,7:42,4,2,DEN 21,0,0,"Corliss Waitman punts 58 yards, returned by Raheem Blackshear for 8 yards (tackle by P.J. Locke and Jacob Bobenmoyer)",-1.960,-0.870
1,7:30,1,10,CAR 29,0,0,Laviska Shenault left tackle for 2 yards (tackle by Kareem Jackson and Matt Henningsen),0.870,0.600
1,6:49,2,8,CAR 31,0,0,D'Onta Foreman up the middle for 6 yards (tackle by Dre'Mont Jones),0.600,0.700
1,6:08,3,2,CAR 37,0,0,Chuba Hubbard left end for 1 yard (tackle by Patrick Surtain),0.700,-0.850
1,5:30,4,1,CAR 38,0,0,Sean Chandler up the middle for 2 yards (tackle by Jonathon Cooper and Jacob Martin),-0.850,1.600
1,4:47,1,10,CAR 40,0,0,Sam Darnold pass complete short right to Tommy Tremble for 2 yards (tackle by Alex Singleton),1.600,1.320
1,4:03,2,8,CAR 42,0,0,Sam Darnold pass complete deep right to D.J. Moore for 26 yards (tackle by Damarri Mathis),1.320,3.450
1,3:24,1,10,DEN 32,0,0,D'Onta Foreman up the middle for 15 yards (tackle by Essang Bassey),3.450,4.440
1,2:45,1,10,DEN 17,0,0,D'Onta Foreman left guard for 4 yards (tackle by Dre'Mont Jones and Eyioma Uwazurike),4.440,4.500
1,2:02,2,6,DEN 13,0,0,Sam Darnold pass complete short right to Ian Thomas for 6 yards (tackle by P.J. Locke),4.500,5.600
1,1:17,1,7,DEN 7,0,0,D'Onta Foreman right guard for 2 yards (tackle by Eyioma Uwazurike and Josey Jewell),5.600,5.150
1,0:36,2,5,DEN 5,0,6,"Sam Darnold pass complete short left to D.J. Moore for 5 yards, touchdown",5.150,7.000
1,0:30,,,DEN 15,0,7,Eddy Pineiro kicks extra point good,0.000,0.000
1,0:30,,,CAR 35,0,7,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,0:30,1,10,DEN 25,0,7,Russell Wilson pass complete short right to Kendall Hinton for 7 yards (tackle by C.J. Henderson),0.610,1.010
1,0:06,2,3,DEN 32,0,7,Latavius Murray up the middle for 11 yards (tackle by Xavier Woods and Jaycee Horn),1.010,1.800
Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 43,0,7,Latavius Murray left tackle for 1 yard (tackle by Brandon Smith),1.800,1.390
2,14:21,2,9,DEN 44,0,7,Russell Wilson sacked by Brian Burns for -11 yards,1.390,-0.760
2,13:36,3,20,DEN 33,0,7,Latavius Murray up the middle for 5 yards (tackle by Frankie Luvu),-0.760,-0.850
2,12:55,4,15,DEN 38,0,7,"Corliss Waitman punts 37 yards, recovered by Delarrin Turner-Yell at CAR-27",-0.850,3.780
2,12:46,1,10,CAR 27,0,7,Kendall Hinton left end for 13 yards (tackle by Sam Franklin),3.780,4.650
2,12:02,1,10,CAR 14,0,7,Latavius Murray left end for 7 yards (tackle by Frankie Luvu),4.650,5.280
2,11:24,2,3,CAR 7,0,7,Montrell Washington right end for 1 yard (tackle by Jaycee Horn and Sam Franklin),5.280,4.730
2,10:51,3,2,CAR 6,0,7,Latavius Murray right guard for -3 yards (tackle by Frankie Luvu and Brian Burns),4.730,2.880
2,10:14,4,5,CAR 9,3,7,Brandon McManus 27 yard field goal good,2.880,3.000
2,10:11,,,DEN 35,3,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,10:11,1,10,CAR 25,3,7,D'Onta Foreman left tackle for 18 yards (tackle by Josey Jewell),0.610,1.800
2,9:27,1,10,CAR 43,3,7,Chuba Hubbard left end for 9 yards (tackle by Patrick Surtain),1.800,2.470
2,8:53,2,1,DEN 48,3,7,Sam Darnold pass complete short right to Laviska Shenault for 5 yards (tackle by Justin Simmons),2.470,2.720
2,8:12,1,10,DEN 43,3,7,Chuba Hubbard up the middle for 2 yards (tackle by Mike Purcell),2.720,2.450
2,7:38,2,8,DEN 41,3,7,Chuba Hubbard up the middle for 5 yards (tackle by Dre'Mont Jones and Justin Simmons),2.450,2.410
2,6:57,3,3,DEN 36,3,7,Chuba Hubbard up the middle for 6 yards (tackle by Josey Jewell and Justin Simmons),2.410,3.580
2,6:15,1,10,DEN 30,3,7,Chuba Hubbard up the middle for 7 yards (tackle by Justin Simmons),3.580,3.980
2,5:37,2,3,DEN 23,3,7,Chuba Hubbard left guard for -1 yards (tackle by P.J. Locke and Damarri Mathis),3.980,3.140
2,4:49,3,4,DEN 24,3,7,Sam Darnold pass incomplete short right intended for Terrace Marshall (defended by Patrick Surtain),3.140,1.940
2,4:46,4,4,DEN 24,3,10,Eddy Pineiro 42 yard field goal good,1.940,3.000
