Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 61 yards, returned by Godwin Igwebuike for 31 yards (tackle by Jackrabbit Jenkins)",0.000,1.270
1,14:54,1,10,SEA 35,0,0,Kenneth Walker up the middle for 5 yards (tackle by Deommodore Lenoir and Fred Warner),1.270,1.400
1,14:23,2,5,SEA 40,0,0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Deommodore Lenoir),1.400,1.930
1,13:56,1,10,SEA 45,0,0,Geno Smith pass complete short left to Kenneth Walker for -3 yards (tackle by Azeez Al-Shaair),1.930,0.980
1,13:14,2,13,SEA 42,0,0,Geno Smith pass incomplete short middle intended for Noah Fant (defended by Dre Greenlaw),0.980,0.300
1,13:06,3,13,SEA 42,0,0,Geno Smith pass incomplete short left intended for Tyler Lockett,0.300,-0.590
1,13:01,4,13,SEA 42,0,0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-10",-0.590,0.380
1,12:54,1,10,SFO 10,0,0,Christian McCaffrey left end for 3 yards (tackle by Cody Barton),-0.380,-0.560
1,12:21,2,7,SFO 13,0,0,Brock Purdy pass complete short right to George Kittle for 2 yards (tackle by Jordyn Brooks),-0.560,-0.840
1,11:38,3,5,SFO 15,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 4 yards (tackle by Ryan Neal),-0.840,-2.140
1,11:00,4,1,SFO 19,0,0,"Mitch Wishnowsky punts 46 yards, fair catch by Tyler Lockett at SEA-35",-2.140,-1.270
1,10:57,1,10,SEA 35,0,0,Geno Smith pass incomplete short left,1.270,0.720
1,10:52,2,10,SEA 35,0,0,Kenneth Walker left end for -2 yards (tackle by Jimmie Ward),0.720,-0.230
1,10:04,3,12,SEA 33,0,0,Geno Smith pass complete short right to Noah Fant for 5 yards (tackle by Fred Warner),-0.230,-0.850
1,9:22,4,7,SEA 38,0,0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-14",-0.850,0.280
1,9:13,1,10,SFO 14,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Jordyn Brooks),-0.280,0.280
1,8:29,2,3,SFO 21,0,0,Christian McCaffrey up the middle for 23 yards (tackle by Quandre Diggs and Cody Barton),0.280,1.860
1,7:47,1,10,SFO 44,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Bruce Irvin),1.860,1.720
1,7:18,2,7,SFO 47,0,0,Christian McCaffrey right end for 4 yards (tackle by Cody Barton),1.720,1.550
1,6:37,3,3,SEA 49,0,0,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Quandre Diggs),1.550,2.850
1,5:59,1,10,SEA 41,0,0,Christian McCaffrey right end for no gain (tackle by Uchenna Nwosu),2.850,2.310
1,5:16,2,10,SEA 41,0,0,Brock Purdy pass complete short left to Christian McCaffrey for 11 yards (tackle by Cody Barton),2.310,3.580
1,4:33,1,10,SEA 30,0,0,Christian McCaffrey left end for 2 yards (tackle by Bruce Irvin),3.580,3.300
1,3:56,2,8,SEA 28,6,0,"Brock Purdy pass complete short middle to George Kittle for 28 yards, touchdown",3.300,7.000
1,3:49,,,SEA 15,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,3:49,,,SFO 35,7,0,"Robbie Gould kicks off 64 yards, returned by Godwin Igwebuike for 31 yards (tackle by Talanoa Hufanga)",0.000,1.070
1,3:41,1,10,SEA 32,7,0,Kenneth Walker right guard for 3 yards (tackle by Dre Greenlaw and Talanoa Hufanga),1.070,0.930
1,3:08,2,7,SEA 35,7,0,"Geno Smith sacked by Talanoa Hufanga for -11 yards. Geno Smith fumbles (forced by Talanoa Hufanga), recovered by Abraham Lucas at SEA-24",0.930,-1.220
1,2:30,3,18,SEA 24,7,0,Geno Smith pass incomplete short right intended for Marquise Goodwin (defended by Nick Bosa),-1.220,-1.770
1,2:25,4,15,SEA 24,7,0,"Michael Dickson punts 41 yards, fair catch by Ray-Ray McCloud at SF-35. Penalty on Joey Blount: Fair Catch Interference, 15 yards (accepted)",-1.770,-2.260
1,2:17,1,10,SFO 50,7,0,Brock Purdy pass complete short left to Christian McCaffrey for 1 yard (tackle by Boye Mafe),2.260,1.850
1,1:36,2,9,SEA 49,7,0,Brock Purdy pass complete short right to Brandon Aiyuk for 3 yards (tackle by Darrell Taylor),1.850,1.550
1,0:56,3,6,SEA 46,7,0,"Brock Purdy pass complete to Ray-Ray McCloud for no gain (tackle by Coby Bryant). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (accepted) (no play)",1.550,0.230
1,0:30,3,16,SFO 44,7,0,Brock Purdy pass complete short middle to Christian McCaffrey for 9 yards (tackle by Tariq Woolen and Jordyn Brooks),0.230,0.130
1,0:01,4,7,SEA 47,7,0,"Penalty on Darrell Taylor: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.130,0.460
Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,SEA 42,7,0,"Mitch Wishnowsky punts 42 yards, touchback.. Penalty on Danny Gray: Illegal Formation, 5 yards (accepted)",0.460,-0.610
2,14:51,1,10,SEA 25,7,0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Charvarius Ward),0.610,0.060
2,14:47,2,10,SEA 25,7,0,Kenneth Walker up the middle for 5 yards (tackle by Arik Armstead),0.060,0.040
2,14:09,3,5,SEA 30,7,0,"Geno Smith pass complete short right to Travis Homer for 4 yards (tackle by Dre Greenlaw). Penalty on D.K. Metcalf: Taunting / Offense, 15 yards (accepted)",0.040,-2.140
2,13:31,4,16,SEA 19,7,0,"Michael Dickson punts 55 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Jon Rhattigan). Penalty on Jackrabbit Jenkins: Offensive Holding, 10 yards (accepted)",-2.140,-0.540
2,13:21,1,10,SFO 24,7,0,Christian McCaffrey up the middle for 6 yards (tackle by Michael Jackson),0.540,0.810
2,12:44,2,4,SFO 30,7,0,Brock Purdy pass complete short right to Brandon Aiyuk for 16 yards (tackle by Jordyn Brooks),0.810,1.990
2,12:05,1,10,SFO 46,7,0,"Christian McCaffrey up the middle for 2 yards (tackle by Coby Bryant). Penalty on Brandon Aiyuk: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.990,1.470
2,11:39,1,18,SFO 38,7,0,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Michael Jackson and Jordyn Brooks),1.470,1.590
2,10:53,2,9,SFO 47,7,0,Brock Purdy pass incomplete short left intended for Christian McCaffrey,1.590,0.890
2,10:49,3,9,SFO 47,7,0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,0.890,-0.260
2,10:44,4,9,SFO 47,7,0,"Mitch Wishnowsky punts 35 yards, fair catch by Tyler Lockett at SEA-18",-0.260,-0.040
2,10:37,1,10,SEA 18,7,0,Kenneth Walker up the middle for 2 yards (tackle by Fred Warner),0.040,-0.130
