Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Aaron Elling kicks off 57 yards, returned by Josh Scobey for 15 yards (tackle by Willie Offord)",0.000,0.810
1,14:55,1,10,ARI 28,0,0,Marcel Shipp right tackle for -3 yards (tackle by Kevin Williams),0.810,-0.140
1,14:19,2,13,ARI 25,0,0,Marcel Shipp left end for 4 yards (tackle by Brian Russell),-0.140,-0.300
1,13:38,3,9,ARI 29,0,0,Josh McCown pass incomplete intended for Bryant Johnson. Penalty on Cameron Spikes: Offensive Holding (Declined),-0.300,-1.440
1,13:32,4,9,ARI 29,0,0,"Scott Player punts 51 yards, returned by Keenan Howry for 7 yards (tackle by Nathan Hodel)",-1.440,-0.740
1,13:21,1,10,MIN 27,0,0,Daunte Culpepper pass complete to Randy Moss for 5 yards (tackle by Gerald Hayes),0.740,0.870
1,12:39,2,5,MIN 32,0,0,Daunte Culpepper pass complete to Randy Moss for 12 yards (tackle by Renaldo Hill),0.870,1.860
1,12:05,1,10,MIN 44,0,0,Daunte Culpepper pass complete to Jim Kleinsasser for 5 yards (tackle by Gerald Hayes),1.860,1.990
1,11:29,2,5,MIN 49,0,0,Michael Bennett left end for 21 yards (tackle by Dexter Jackson),1.990,3.580
1,11:04,1,10,ARI 30,0,0,Daunte Culpepper pass complete to Randy Moss for 28 yards (tackle by Renaldo Hill),3.580,6.740
1,10:35,1,2,ARI 2,0,0,Michael Bennett left end for -1 yards (tackle by David Barrett),6.740,5.530
1,9:58,2,3,ARI 3,0,0,Daunte Culpepper up the middle for 2 yards (tackle by Marcus Bell),5.530,5.170
1,9:25,3,1,ARI 1,0,0,Moe Williams left tackle for no gain (tackle by Fred Wakefield),5.170,3.550
1,8:56,4,1,ARI 1,0,0,Daunte Culpepper pass incomplete intended for Hunter Goodwin,3.550,0.380
1,8:51,1,10,ARI 1,0,0,Marcel Shipp right end for 5 yards (tackle by Willie Offord),-0.380,-0.420
1,8:05,2,5,ARI 6,0,0,Josh McCown pass complete to Marcel Shipp for 6 yards (tackle by Kenny Mixon),-0.420,-0.350
1,7:15,1,10,ARI 12,0,0,Marcel Shipp up the middle for 5 yards (tackle by Corey Chavous),-0.350,-0.230
1,6:38,2,5,ARI 17,0,0,Emmitt Smith right tackle for 1 yard (tackle by Kenny Mixon),-0.230,-0.720
1,5:57,3,4,ARI 18,0,0,Josh McCown pass complete to Nate Poole for 5 yards (tackle by Brian Russell),-0.720,0.480
1,5:18,1,10,ARI 23,0,0,"Penalty on Anquan Boldin: False Start, 5 yards (no play)",0.480,0.000
1,4:58,1,15,ARI 18,0,0,Josh McCown pass incomplete,0.000,-0.840
1,4:45,2,15,ARI 18,0,0,Josh McCown pass complete to Emmitt Smith for 36 yards (tackle by Corey Chavous),-0.840,2.520
1,4:12,1,10,MIN 46,0,0,Josh McCown right end for 10 yards (tackle by Greg Biekert),2.520,3.180
1,3:15,1,10,MIN 36,0,0,Josh McCown pass incomplete intended for Freddie Jones,3.180,2.640
1,3:11,2,10,MIN 36,0,0,Josh McCown pass complete to Freddie Jones for 25 yards (tackle by Brian Russell),2.640,4.840
1,2:21,1,10,MIN 11,0,0,Marcel Shipp right end for 3 yards (tackle by Brian Russell and Kevin Williams),4.840,4.700
1,1:40,2,7,MIN 8,0,0,Josh McCown pass incomplete intended for Bryant Johnson (defended by Brian Williams),4.700,3.760
1,1:34,3,7,MIN 8,0,0,Josh McCown pass complete to Anquan Boldin for 3 yards (tackle by Henri Crockett),3.760,3.010
1,1:34,4,4,MIN 5,0,3,Neil Rackers 22 yard field goal good,3.010,3.000
1,,,,ARI 30,0,3,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
1,0:51,1,10,MIN 20,0,3,Daunte Culpepper pass complete to Nate Burleson for 8 yards (tackle by Adrian Wilson),0.280,0.810
1,0:30,2,2,MIN 28,0,3,Michael Bennett right tackle for 1 yard (tackle by Ronald McKinnon and Dennis Johnson),0.810,0.230
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,MIN 29,0,3,Michael Bennett left end for 2 yards (tackle by Dexter Jackson),0.230,1.000
2,14:24,1,10,MIN 31,0,3,Daunte Culpepper pass complete to Onterrio Smith for 10 yards (tackle by Gerald Hayes),1.000,1.660
2,13:45,1,10,MIN 41,0,3,Daunte Culpepper pass incomplete intended for D'Wayne Bates,1.660,1.120
2,13:43,2,10,MIN 41,0,3,Daunte Culpepper pass complete to Onterrio Smith for 4 yards (tackle by Levar Fisher),1.120,0.960
