Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 68 yards, returned by Josh Cribbs for 21 yards (tackle by Dan Skuta)",0.000,0.040
1,14:53,1,10,CLE 18,0,0,Travis Benjamin left end for 13 yards (tackle by Terence Newman),0.040,1.000
1,14:32,1,10,CLE 31,0,0,Trent Richardson up the middle for 2 yards (tackle by Reggie Nelson and Vincent Rey),1.000,0.730
1,13:59,2,8,CLE 33,0,0,Brandon Weeden pass incomplete deep right intended for Mohamed Massaquoi,0.730,0.040
1,13:54,3,8,CLE 33,0,0,Brandon Weeden sacked by Michael Johnson for -5 yards,0.040,-1.500
1,13:35,4,13,CLE 28,0,6,"Reggie Hodges punts 53 yards, returned by Pacman Jones for 81 yards, touchdown",-1.500,-7.000
1,,,,CLE 2,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,13:13,,,CIN 35,0,7,"Mike Nugent kicks off 67 yards, returned by Josh Cribbs for 38 yards (tackle by Terence Newman)",0.000,1.330
1,13:06,1,10,CLE 36,0,7,Trent Richardson right end for 2 yards (tackle by Vontaze Burfict and Nate Clements),1.330,1.060
1,12:44,2,8,CLE 38,0,7,Brandon Weeden pass complete deep middle to Mohamed Massaquoi for 19 yards (tackle by Jeromy Miles),1.060,2.720
1,12:06,1,10,CIN 43,0,7,Brandon Weeden pass incomplete deep middle intended for Greg Little (defended by Leon Hall),2.720,2.180
1,11:58,2,10,CIN 43,0,7,Trent Richardson left tackle for 5 yards (tackle by Jamaal Anderson),2.180,2.150
1,11:19,3,5,CIN 38,0,7,Brandon Weeden pass complete short middle to Greg Little for 11 yards (tackle by Nate Clements),2.150,3.780
1,10:42,1,10,CIN 27,0,7,"Brandon Weeden pass incomplete deep left intended for Ben Watson. Penalty on Shawn Lauvao: Offensive Holding, 10 yards (no play)",3.780,3.120
1,10:36,1,20,CIN 37,0,7,Trent Richardson left tackle for 1 yard (tackle by Domata Peko and Michael Johnson),3.120,2.020
1,9:57,2,19,CIN 36,0,7,Brandon Weeden left end for 4 yards (tackle by Geno Atkins),2.020,1.880
1,9:11,3,15,CIN 32,0,7,Brandon Weeden pass incomplete short left intended for Josh Gordon,1.880,1.240
1,9:06,4,15,CIN 32,3,7,Phil Dawson 50 yard field goal good,1.240,3.000
1,9:01,,,CLE 35,3,7,"Phil Dawson kicks off 70 yards, returned by Brandon Tate for 27 yards (tackle by Trevin Wade). Penalty on Dan Skuta: Offensive Holding, 9 yards",0.000,-0.380
1,8:57,1,10,CIN 10,3,7,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",-0.380,-0.570
1,8:57,1,15,CIN 5,3,7,Andy Dalton pass complete short left to Armon Binns for 12 yards (tackle by Buster Skrine),-0.570,-0.090
1,8:17,2,3,CIN 17,3,7,BenJarvus Green-Ellis left tackle for 1 yard (tackle by Frostee Rucker and John Hughes),-0.090,-0.480
1,7:34,3,2,CIN 18,3,7,"Andy Dalton sacked by Juqua Parker for -6 yards. Penalty on D'Qwell Jackson: Unnecessary Roughness, 15 yards",-0.480,0.740
1,7:16,1,10,CIN 27,3,7,BenJarvus Green-Ellis left tackle for 5 yards (tackle by T.J. Ward),0.740,0.870
1,6:42,2,5,CIN 32,3,7,Andy Dalton pass complete short right to Armon Binns for 8 yards,0.870,1.600
1,6:08,1,10,CIN 40,3,7,Andy Dalton sacked by D'Qwell Jackson for 0 yards,1.600,1.050
1,5:27,2,10,CIN 40,3,7,BenJarvus Green-Ellis right tackle for 4 yards (tackle by Scott Fujita and D'Qwell Jackson),1.050,0.890
1,4:47,3,6,CIN 44,3,7,Andy Dalton pass complete short right to Brandon Tate for 5 yards (tackle by Craig Robertson),0.890,-0.130
1,4:17,4,1,CIN 49,3,7,Andy Dalton right guard for 2 yards (tackle by John Hughes),-0.130,2.320
1,3:38,1,10,CLE 49,3,7,BenJarvus Green-Ellis left tackle for 1 yard (tackle by Jabaal Sheard),2.320,1.920
1,2:59,2,9,CLE 48,3,7,Andy Dalton pass incomplete deep right intended for A.J. Green,1.920,1.220
1,2:52,3,9,CLE 48,3,7,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Jabaal Sheard),1.220,0.070
1,2:47,4,9,CLE 48,3,7,"Kevin Huber punts 34 yards, fair catch by Josh Cribbs",0.070,0.280
1,2:39,1,10,CLE 14,3,7,Trent Richardson right guard for 7 yards (tackle by Rey Maualuga and Vincent Rey),-0.280,0.280
1,2:11,2,3,CLE 21,3,7,"Penalty on Ben Watson: False Start, 5 yards (no play)",0.280,-0.510
