Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,--,0.000,0.480
1,14:54,1,10,PIT 23,0,0,Tommy Maddox pass incomplete intended for Jerome Bettis,0.480,-0.070
1,14:50,2,10,PIT 23,0,0,Jerome Bettis left guard for 1 yard (tackle by Ronald McKinnon and Raynoch Thompson),-0.070,-0.630
1,14:11,3,9,PIT 24,0,0,Tommy Maddox pass incomplete intended for Hines Ward,-0.630,-1.770
1,14:01,4,9,PIT 24,0,0,"Josh Miller punts 39 yards, fair catch by Anquan Boldin",-1.770,-1.400
1,13:57,1,10,ARI 37,0,0,Marcel Shipp right guard for 1 yard (tackle by Casey Hampton),1.400,0.990
1,13:15,2,9,ARI 38,0,0,"Jeff Blake right end for 5 yards (tackle by Kendrell Bell). Penalty on Kendrell Bell: Unnecessary Roughness, 15 yards",0.990,2.790
1,12:47,1,10,PIT 42,0,0,Marcel Shipp right guard for 3 yards (tackle by James Farrior and Jason Gildon),2.790,2.650
1,11:43,2,7,PIT 39,0,0,Marcel Shipp right tackle for -1 yards (tackle by Aaron Smith),2.650,1.820
1,11:28,3,8,PIT 40,0,0,Jeff Blake pass incomplete intended for Bryan Gilmore (defended by Deshea Townsend),1.820,0.590
1,11:19,4,8,PIT 40,0,0,"Scott Player punts 40 yards, touchback",0.590,-0.280
1,11:11,1,10,PIT 20,0,0,Jerome Bettis up the middle for 2 yards (tackle by Levar Fisher),0.280,0.000
1,10:35,2,8,PIT 22,0,0,Amos Zereoue up the middle for 7 yards (tackle by Ronald McKinnon and Calvin Pace),0.000,0.230
1,9:52,3,1,PIT 29,0,0,Amos Zereoue left tackle for 9 yards (tackle by Adrian Wilson),0.230,1.470
1,9:15,1,10,PIT 38,0,0,Tommy Maddox pass incomplete intended for Hines Ward,1.470,0.920
1,9:08,2,10,PIT 38,0,0,Jerome Bettis left guard for 6 yards (tackle by Russell Davis and Ronald McKinnon),0.920,1.020
