Quarter,Time,Down,ToGo,Location,ARI,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Bill Gramatica kicks off 65 yards, returned by Dante Hall for 27 yards (tackle by Michael Young)",0.000,1.070
1,15:00,1,10,KAN 32,0,0,Trent Green pass complete to Johnnie Morton for 13 yards (tackle by Renaldo Hill),1.070,1.930
1,14:23,1,10,KAN 45,0,0,Trent Green pass incomplete intended for Johnnie Morton (defended by David Barrett),1.930,1.380
1,14:17,2,10,KAN 45,0,0,Priest Holmes middle for 4 yards (tackle by LeVar Woods),1.380,1.220
1,13:40,3,6,KAN 49,0,0,--,1.220,1.880
1,13:12,3,1,ARI 46,0,0,Priest Holmes left tackle for -1 yards (tackle by Raynoch Thompson),1.880,0.130
1,12:35,4,2,ARI 47,0,0,"Dan Stryzinski punts 39 yards, out of bounds",0.130,0.380
1,12:27,1,10,ARI 8,0,0,Marcel Shipp right end for 3 yards (tackle by Greg Wesley),-0.380,-0.560
1,11:52,2,7,ARI 11,0,0,Jake Plummer pass complete to Freddie Jones for 6 yards (tackle by Scott Fujita),-0.560,-0.370
1,11:07,3,1,ARI 17,0,0,Marcel Shipp middle for 4 yards (tackle by Eric Hicks),-0.370,0.340
1,10:33,1,10,ARI 21,0,0,Marcel Shipp left tackle for -1 yards (tackle by John Browning),0.340,-0.340
1,9:54,2,11,ARI 20,0,0,Jake Plummer pass complete to Marcel Shipp for 13 yards (tackle by Shaunard Harts),-0.340,1.140
1,9:15,1,10,ARI 33,0,0,Marcel Shipp left end for 1 yard (tackle by Duane Clemons and Marvcus Patton),1.140,0.730
1,8:38,2,9,ARI 34,0,0,Jake Plummer pass incomplete intended for Jason McAddley,0.730,0.040
1,8:30,3,9,ARI 34,0,0,Jake Plummer pass complete to Freddie Jones for 6 yards (tackle by Ray Crockett),0.040,-0.720
1,8:00,4,3,ARI 40,0,0,"Scott Player punts 52 yards, returned by Dante Hall for 18 yards (tackle by Justin Lucas)",-0.720,-0.670
1,7:46,1,10,KAN 26,0,0,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ronald McKinnon),0.670,0.940
1,7:08,2,4,KAN 32,0,0,Priest Holmes right tackle for 2 yards (tackle by Raynoch Thompson),0.940,0.500
1,6:30,3,2,KAN 34,0,0,Trent Green pass incomplete intended for Priest Holmes,0.500,-1.110
1,6:30,4,2,KAN 34,0,0,"Dan Stryzinski punts 44 yards, returned by Arnold Jackson for 9 yards (tackle by Gary Stills)",-1.110,-1.000
1,6:14,1,10,ARI 31,0,0,Jake Plummer pass incomplete intended for Freddie Jones (defended by Mike Maslowski),1.000,0.460
1,6:11,2,10,ARI 31,0,0,Marcel Shipp left tackle for 1 yard (tackle by Shaunard Harts),0.460,-0.100
1,5:31,3,9,ARI 32,0,0,Jake Plummer pass incomplete intended for Jason McAddley,-0.100,-1.240
1,5:24,4,9,ARI 32,0,0,"Scott Player punts 45 yards, returned by Dante Hall for no gain",-1.240,-0.480
1,5:16,1,10,KAN 23,0,0,Priest Holmes right end for 9 yards (tackle by Ronald McKinnon),0.480,1.150
1,4:49,2,1,KAN 32,0,0,Priest Holmes left end for 8 yards (tackle by Kwamie Lassiter),1.150,1.600
1,4:23,1,10,KAN 40,0,0,Trent Green pass complete to Eddie Kennison for 23 yards (tackle by Kwamie Lassiter and David Barrett),1.600,3.120
1,4:23,1,10,ARI 37,0,0,--,3.120,4.110
1,4:23,1,10,ARI 22,0,0,Priest Holmes for no gain (tackle by Wendell Bryant and Marcus Bell),4.110,3.560
1,2:24,2,10,ARI 22,0,0,Trent Green pass incomplete intended for Eddie Kennison,3.560,2.870
1,2:15,3,10,ARI 22,0,0,Priest Holmes left tackle for 17 yards (tackle by Justin Lucas),2.870,6.060
1,1:32,1,5,ARI 5,0,6,"Priest Holmes right end for 5 yards, touchdown",6.060,7.000
1,1:32,,,ARI 5,0,7,Morten Andersen kicks extra point good,0.000,0.000
1,1:32,,,KAN 30,0,7,"Morten Andersen kicks off 62 yards, returned by Kevin Kasper for 18 yards (tackle by Jason Belser). Penalty on Damien Anderson: Offensive Holding, 10 yards",0.000,-0.140
1,1:20,1,10,ARI 16,0,7,"Jake Plummer pass incomplete. Penalty on Eric Warfield: Defensive Pass Interference, 23 yards (no play)",-0.140,1.530
1,1:14,1,10,ARI 39,0,7,Marcel Shipp left end for 3 yards (tackle by Eric Warfield),1.530,1.390
1,0:30,2,7,ARI 42,0,7,Jake Plummer pass incomplete intended for Marcel Shipp,1.390,0.700
