Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 60 yards, returned by Dante Hall for 21 yards (tackle by Sam Aiken)",0.000,1.000
1,14:54,1,10,KAN 31,0,0,Larry Johnson right guard for 5 yards (tackle by Terrence McGee and Aaron Schobel),1.000,1.140
1,14:18,2,5,KAN 36,0,0,Larry Johnson right tackle for 11 yards (tackle by Angelo Crowell and Troy Vincent),1.140,2.060
1,13:54,1,10,KAN 47,0,0,Larry Johnson up the middle for 2 yards (tackle by Justin Bannan and Angelo Crowell),2.060,1.790
1,13:18,2,8,KAN 49,0,0,Larry Johnson left tackle for 2 yards (tackle by London Fletcher and Angelo Crowell),1.790,1.360
1,12:34,3,6,BUF 49,0,0,Trent Green pass incomplete intended for Eddie Kennison,1.360,0.000
1,12:28,4,6,BUF 49,0,0,"Dustin Colquitt punts 35 yards, fair catch by Roscoe Parrish. Penalty on Jabari Greer: Defensive Holding, 7 yards",0.000,0.380
1,12:20,1,10,BUF 7,0,0,"Willis McGahee up the middle for 13 yards (tackle by Eric Hicks and Eric Warfield). Penalty on Roscoe Parrish: Illegal Block Above the , 10 yards",-0.380,-0.270
1,11:47,1,7,BUF 10,0,0,Kelly Holcomb pass complete to Eric Moulds for 5 yards (tackle by Derrick Johnson),-0.270,-0.140
1,11:08,2,2,BUF 15,0,0,Willis McGahee right tackle for -1 yards (tackle by Carlos Hall),-0.140,-0.600
1,10:27,3,3,BUF 14,0,0,Kelly Holcomb pass incomplete intended for Josh Reed (defended by Carlos Hall),-0.600,-2.470
1,10:22,4,3,BUF 14,0,0,"Brian Moorman punts 53 yards, returned by Dante Hall for 9 yards (tackle by Angelo Crowell)",-2.470,-1.730
1,10:11,1,10,KAN 42,0,0,Trent Green pass complete to Eddie Kennison for 9 yards (tackle by Justin Bannan and London Fletcher),1.730,2.400
1,9:39,2,1,BUF 49,0,0,Larry Johnson up the middle for 2 yards (tackle by London Fletcher and Jeff Posey),2.400,2.460
1,8:57,1,10,BUF 47,0,0,Trent Green pass complete to Tony Gonzalez for 14 yards (tackle by Chris Kelsay and Lawyer Milloy),2.460,3.380
1,8:17,1,10,BUF 33,0,0,Larry Johnson up the middle for 3 yards (tackle by Angelo Crowell and Ryan Denney),3.380,3.240
1,7:38,2,7,BUF 30,0,0,Trent Green pass incomplete intended for Tony Gonzalez,3.240,2.540
1,7:33,3,7,BUF 30,0,0,Trent Green sacked by Aaron Schobel for -6 yards,2.540,0.880
1,7:10,4,13,BUF 36,0,0,"Dustin Colquitt punts 21 yards. Penalty on Boomer Grigsby: Fair Catch Interference, 15 yards",0.880,-0.940
1,7:00,1,10,BUF 30,0,0,Willis McGahee left tackle for no gain (tackle by Jared Allen),0.940,0.390
1,6:19,2,10,BUF 30,0,0,Kelly Holcomb pass incomplete (defended by Jimmy Wilkerson),0.390,-0.300
1,6:15,3,10,BUF 30,0,0,Willis McGahee left tackle for 3 yards (tackle by John Browning),-0.300,-1.180
1,5:34,4,7,BUF 33,0,0,"Brian Moorman punts 36 yards, returned by Dante Hall for 7 yards (tackle by Mario Haggan)",-1.180,-1.470
1,5:22,1,10,KAN 38,0,0,Trent Green pass complete to Eddie Kennison for 20 yards (tackle by Lawyer Milloy),1.470,2.790
1,4:47,1,10,BUF 42,0,0,Dante Hall left tackle for -1 yards (tackle by Aaron Schobel and Nate Clements),2.790,2.110
1,4:06,2,11,BUF 43,0,0,Larry Johnson right tackle for 24 yards (tackle by Terrence McGee),2.110,4.310
1,3:23,1,10,BUF 19,0,0,Larry Johnson left guard for no gain (tackle by Angelo Crowell),4.310,3.750
1,2:46,2,10,BUF 19,0,0,Trent Green pass complete to Eddie Kennison for 5 yards (tackle by Terrence McGee),3.750,3.760
1,2:04,3,5,BUF 14,0,0,Larry Johnson left guard for -3 yards (tackle by Chris Kelsay and Aaron Schobel),3.760,2.310
1,1:23,4,8,BUF 17,3,0,Lawrence Tynes 35 yard field goal good,2.310,3.000
1,,,,KAN 30,3,0,"Lawrence Tynes kicks off 59 yards, returned by Terrence McGee for 14 yards (tackle by Jimmy Wilkerson). Penalty on Gary Stills: Personal Foul (Offsetting), Penalty on Sam Aiken: Offensive Holding (Offsetting)",0.000,0.610
1,1:09,1,10,BUF 25,3,0,Kelly Holcomb pass complete to Mark Campbell for 12 yards (tackle by Kawika Mitchell and Sammy Knight),0.610,1.400
