Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 61 yards, returned by Chris Thompson for 16 yards (tackle by Nick Vigil)",0.000,-0.280
1,14:54,1,10,WAS 20,0,0,Kirk Cousins pass complete short left to Jordan Reed for 7 yards (tackle by Adam Jones),0.280,0.680
1,14:34,2,3,WAS 27,0,0,Robert Kelley left end for no gain (tackle by George Iloka),0.680,-0.030
1,13:50,3,3,WAS 27,0,0,Kirk Cousins pass complete short left to DeSean Jackson for 4 yards (tackle by Josh Shaw),-0.030,1.000
1,13:24,1,10,WAS 31,0,0,Kirk Cousins pass incomplete short right intended for DeSean Jackson,1.000,0.460
1,13:20,2,10,WAS 31,0,0,Kirk Cousins pass complete short middle to Jordan Reed for 12 yards (tackle by Vincent Rey),0.460,1.800
1,12:39,1,10,WAS 43,0,0,Kirk Cousins pass incomplete deep left intended for DeSean Jackson,1.800,1.250
1,12:34,2,10,WAS 43,0,0,Kirk Cousins pass complete short right to Jamison Crowder for 17 yards (tackle by Carlos Dunlap),1.250,2.920
1,11:45,1,10,CIN 40,0,0,Robert Kelley right guard for 4 yards (tackle by Will Clarke),2.920,2.910
1,11:03,2,6,CIN 36,0,0,Robert Kelley right guard for 4 yards (tackle by George Iloka),2.910,2.740
1,10:28,3,2,CIN 32,0,0,Kirk Cousins pass complete short left to Pierre Garcon for 6 yards (tackle by Adam Jones),2.740,3.840
1,9:50,1,10,CIN 26,0,0,Robert Kelley left tackle for 3 yards (tackle by Michael Johnson),3.840,3.700
1,9:10,2,7,CIN 23,0,0,Kirk Cousins pass incomplete deep left intended for Jordan Reed,3.700,3.010
1,9:06,3,7,CIN 23,0,0,Kirk Cousins pass complete short middle to Jordan Reed for 12 yards (tackle by Vontaze Burfict),3.010,4.840
1,8:24,1,10,CIN 11,0,0,Kirk Cousins pass complete short left to Jamison Crowder for 7 yards (tackle by Josh Shaw),4.840,5.470
1,7:44,2,3,CIN 4,6,0,"Robert Kelley middle for 4 yards, touchdown",5.470,7.000
1,7:44,,,CIN 4,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,7:44,,,WAS 35,7,0,"Dustin Hopkins kicks off 66 yards, returned by Alex Erickson for 65 yards (tackle by Bashaud Breeland)",0.000,-3.180
1,7:27,1,10,WAS 36,7,0,Andy Dalton pass complete short right to Jeremy Hill for -3 yards (tackle by William Compton),3.180,2.230
1,6:50,2,13,WAS 39,7,0,Andy Dalton pass complete short right to Tyler Kroft for 6 yards (tackle by William Compton and Donte Whitner),2.230,2.350
1,6:10,3,7,WAS 33,7,0,Andy Dalton pass complete short left to Tyler Boyd for 8 yards (tackle by Kendall Fuller),2.350,3.910
1,5:32,1,10,WAS 25,7,0,Jeremy Hill right guard for 9 yards (tackle by Mason Foster),3.910,4.750
1,5:09,2,1,WAS 16,7,0,Jeremy Hill right guard for 3 yards (tackle by Bashaud Breeland),4.750,4.710
1,4:36,1,10,WAS 13,7,0,Giovani Bernard right guard for 5 yards (tackle by Donte Whitner),4.710,4.960
1,3:58,2,5,WAS 8,7,6,"Giovani Bernard right tackle for 8 yards, touchdown. Penalty on Bashaud Breeland: Face Mask (15 Yards), 15 yards",4.960,7.000
1,3:58,,,WAS 8,7,7,Mike Nugent kicks extra point good,0.000,0.000
