Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 64 yards, returned by Jordy Nelson for 16 yards (tackle by Antwan Barnes)",0.000,0.410
1,14:54,1,10,GNB 22,0,0,Aaron Rodgers pass incomplete deep middle intended for Jermichael Finley,0.410,-0.130
1,14:50,2,10,GNB 22,0,0,Aaron Rodgers pass incomplete short left intended for Greg Jennings,-0.130,-0.820
1,14:47,3,10,GNB 22,0,0,"Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",-0.820,-0.160
1,14:47,3,5,GNB 27,0,0,Aaron Rodgers pass incomplete short middle intended for Greg Jennings,-0.160,-1.570
1,14:44,4,5,GNB 27,0,0,"Tim Masthay punts 41 yards, fair catch by DeSean Jackson",-1.570,-1.070
1,14:36,1,10,PHI 32,0,0,"Kevin Kolb pass complete short right to Brent Celek for 3 yards (tackle by Charles Woodson). Penalty on Jason Peters: Illegal Formation, 5 yards (no play)",1.070,0.740
1,14:14,1,15,PHI 27,0,0,Kevin Kolb pass complete short right to Jeremy Maclin for 5 yards (tackle by Nick Collins),0.740,0.530
1,13:33,2,10,PHI 32,0,0,Kevin Kolb pass incomplete short middle intended for Brent Celek,0.530,-0.160
1,13:28,3,10,PHI 32,0,0,Kevin Kolb sacked by Clay Matthews for -8 yards,-0.160,-1.770
1,12:56,4,18,PHI 24,0,0,"Saverio Rocca punts 50 yards, fair catch by Tramon Williams",-1.770,-0.670
1,12:49,1,10,GNB 26,0,0,"Aaron Rodgers pass complete short right to Donald Lee for 9 yards (tackle by Nate Allen). Penalty on Stewart Bradley: Defensive Offside, 5 yards (no play)",0.670,1.400
1,12:24,1,5,GNB 31,0,0,Aaron Rodgers pass complete short left to Donald Driver for 7 yards (tackle by Ellis Hobbs),1.400,1.470
1,11:47,1,10,GNB 38,0,0,Ryan Grant right end for 2 yards (tackle by Asante Samuel),1.470,1.190
1,11:21,2,8,GNB 40,0,0,Ryan Grant right end for 3 yards (tackle by Brodrick Bunkley),1.190,0.890
1,10:35,3,5,GNB 43,0,0,Aaron Rodgers pass complete short left to James Jones for 7 yards (tackle by Joselio Hanson),0.890,2.260
1,9:55,1,10,,0,0,Aaron Rodgers pass complete short left to Donald Driver for 4 yards (tackle by Trent Cole),2.260,2.250
1,9:11,2,6,PHI 46,0,0,Aaron Rodgers sacked by Juqua Parker for -9 yards,2.250,0.370
