Quarter,Time,Tm,Detail,TAM,CAR
1.0,10:34,Panthers,Alex Armah 1 yard rush (Graham Gano kick),0,7
,3:14,Panthers,Christian McCaffrey 3 yard rush (Graham Gano kick),0,14
2.0,14:15,Buccaneers,O.J. Howard 4 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),7,14
,11:20,Panthers,Curtis Samuel 33 yard rush (Graham Gano kick),7,21
,7:24,Panthers,Christian McCaffrey 1 yard rush (Graham Gano kick),7,28
,4:01,Panthers,Greg Olsen 17 yard pass from Cam Newton (Graham Gano kick),7,35
,0:15,Buccaneers,O.J. Howard 3 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),14,35
3.0,5:14,Buccaneers,Adam Humphries 5 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),21,35
4.0,14:24,Buccaneers,Adam Humphries 30 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),28,35
,9:04,Panthers,Curtis Samuel 19 yard pass from Cam Newton (Graham Gano kick),28,42
