Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 74 yards, returned by Jarvis Landry for 19 yards (tackle by IK Enemkpali)",0.000,0.380
1,14:57,1,10,MIA 10,0,0,Lamar Miller left tackle for no gain (tackle by Calvin Pace),-0.380,-0.780
1,14:24,2,10,MIA 10,0,0,Ryan Tannehill sacked by David Harris and Muhammad Wilkerson for -8 yards,-0.780,-2.360
1,13:42,3,18,MIA 2,0,0,Ryan Tannehill pass incomplete deep right intended for Mike Wallace,-2.360,-2.490
1,13:33,4,18,MIA 2,0,0,"Brandon Fields punts 51 yards, returned by Jeremy Kerley for 10 yards (tackle by Jordan Kovacs)",-2.490,-2.720
1,13:21,1,10,MIA 43,0,0,Chris Ivory left end for 7 yards (tackle by Dion Jordan),2.720,3.120
1,12:50,2,3,MIA 36,0,0,Geno Smith pass complete short right to Eric Decker for 7 yards (tackle by Jimmy Wilson),3.120,3.640
1,12:26,1,10,MIA 29,0,0,Chris Ivory right guard for 9 yards (tackle by Jimmy Wilson),3.640,4.320
1,12:02,2,1,MIA 20,0,0,Chris Ivory right tackle for -1 yards (tackle by Reshad Jones),4.320,3.470
1,11:36,3,2,MIA 21,0,0,Geno Smith sacked by Randy Starks for -6 yards,3.470,1.670
1,10:49,4,8,MIA 27,0,0,Nick Folk 45 yard field goal no good,1.670,-1.270
1,10:31,1,10,MIA 35,0,0,Ryan Tannehill pass complete short right to Brian Hartline for 16 yards (tackle by Darrin Walls),1.270,2.320
1,10:04,1,10,NYJ 49,0,0,"Lamar Miller left tackle for 4 yards (tackle by David Harris). Penalty on Jason Fox: Tripping, 10 yards (no play)",2.320,1.660
1,9:52,1,20,MIA 41,0,0,Ryan Tannehill pass complete short middle to Brian Hartline for 15 yards (tackle by Marcus Williams),1.660,2.460
1,9:09,2,5,NYJ 44,0,0,Lamar Miller left tackle for 6 yards (tackle by Calvin Pryor),2.460,3.050
1,8:34,1,10,NYJ 38,0,0,Ryan Tannehill pass complete short left to Damian Williams for 11 yards (tackle by Dawan Landry),3.050,3.780
1,8:04,1,10,NYJ 27,0,0,"Penalty on Jason Fox: False Start, 5 yards (no play)",3.780,3.450
1,7:42,1,15,NYJ 32,0,0,Lamar Miller right guard for 5 yards (tackle by Sheldon Richardson),3.450,3.230
1,7:09,2,10,NYJ 27,0,0,Ryan Tannehill pass complete short left to Dion Sims for 9 yards (tackle by Darrin Walls),3.230,3.840
1,6:43,3,1,NYJ 18,0,0,Lamar Miller left end for -1 yards (tackle by Marcus Williams),3.840,2.310
