Quarter,Time,Tm,Detail,DAL,NYG
1.0,5:04,Giants,Lawrence Tynes 43 yard field goal,0,3
,3:28,Cowboys,Dez Bryant 13 yard pass from Jon Kitna (David Buehler kick failed),6,3
2.0,14:26,Cowboys,David Buehler 22 yard field goal,9,3
,7:34,Cowboys,Bryan McCann 101 yard interception return (David Buehler kick),16,3
,3:04,Cowboys,David Buehler 23 yard field goal,19,3
,1:24,Giants,Lawrence Tynes 25 yard field goal,19,6
3.0,13:56,Cowboys,Felix Jones 71 yard pass from Jon Kitna (David Buehler kick),26,6
,8:56,Giants,Mario Manningham 5 yard pass from Eli Manning (Lawrence Tynes kick),26,13
,6:27,Cowboys,Miles Austin 24 yard pass from Jon Kitna (David Buehler kick),33,13
,5:19,Giants,Kevin Boss 35 yard pass from Eli Manning (Lawrence Tynes kick),33,20
