Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 65 yards, returned by Chris Davis for 19 yards (tackle by Johnnie Lee Higgins)",0.000,0.540
1,14:55,1,10,TEN 24,0,0,LenDale White up the middle for 6 yards (tackle by Terdell Sands and Tommy Kelly),0.540,0.810
1,14:22,2,4,TEN 30,0,0,Vince Young pass incomplete short right intended for Eric Moulds,0.810,0.100
1,14:19,3,4,TEN 30,0,0,Vince Young pass incomplete short middle intended for LenDale White (defended by Thomas Howard),0.100,-1.370
1,14:15,4,4,TEN 30,0,0,"Craig Hentrich punts 37 yards, fair catch by Chris Carr",-1.370,-1.140
1,14:07,1,10,OAK 33,0,0,Daunte Culpepper pass incomplete short left intended for Justin Griffith,1.140,0.590
1,14:02,2,10,OAK 33,0,0,"Penalty on Cornell Green: False Start, 5 yards (no play)",0.590,-0.080
1,14:02,2,15,OAK 28,0,0,Daunte Culpepper pass complete deep left to Jerry Porter for 22 yards (tackle by Cortland Finnegan),-0.080,2.260
1,13:22,1,10,,0,0,Daunte Culpepper pass incomplete short middle intended for Justin Griffith (defended by Antwan Odom),2.260,1.710
1,13:15,2,10,,0,0,LaMont Jordan left guard for 3 yards (tackle by Tony Brown and David Thornton),1.710,1.420
1,12:38,3,7,TEN 47,0,0,Daunte Culpepper pass complete short right to Ronald Curry for 8 yards (tackle by Chris Hope),1.420,2.980
1,11:59,1,10,TEN 39,0,0,LaMont Jordan left guard for 1 yard (tackle by Tony Brown),2.980,2.580
1,11:22,2,9,TEN 38,0,0,Justin Fargas left tackle for 6 yards (tackle by Ryan Fowler and Tony Brown),2.580,2.680
1,10:41,3,3,TEN 32,0,0,Daunte Culpepper pass incomplete short right intended for Justin Griffith (defended by Antwan Odom),2.680,1.290
1,10:38,4,3,TEN 32,3,0,Sebastian Janikowski 50 yard field goal good,1.290,3.000
1,,,,OAK 30,3,0,"Sebastian Janikowski kicks off 79 yards, touchback",0.000,0.280
1,10:33,1,10,TEN 20,3,0,LenDale White right end for 3 yards (tackle by Tommy Kelly and Robert W. Thomas),0.280,0.140
1,9:55,2,7,TEN 23,3,0,LenDale White up the middle for no gain (tackle by Tommy Kelly),0.140,-0.560
1,9:17,3,7,TEN 23,3,0,Vince Young up the middle for 4 yards (tackle by Kirk Morrison),-0.560,-1.570
1,8:40,4,3,TEN 27,3,0,"Craig Hentrich punts 52 yards, returned by Chris Carr for 11 yards (tackle by LeVar Woods). Penalty on Oren O'Neal: Illegal Block Above the Waist, 10 yards",-1.570,0.140
1,8:24,1,10,OAK 16,3,0,Daunte Culpepper pass incomplete short right intended for Ronald Curry,-0.140,-0.660
1,8:17,2,10,OAK 16,3,0,"LaMont Jordan left tackle for 4 yards (tackle by Chris Hope). Penalty on Oren O'Neal: Offensive Holding, 8 yards (no play)",-0.660,-1.360
1,7:49,2,18,OAK 8,3,0,"Daunte Culpepper sacked by Kyle Vanden Bosch for -5 yards. Daunte Culpepper fumbles (forced by Kyle Vanden Bosch), recovered by Barry Sims at OAK-6",-1.360,-2.590
1,7:13,3,20,OAK 6,3,0,Daunte Culpepper pass complete short right to Justin Fargas for 13 yards (tackle by Keith Bulluck),-2.590,-2.140
1,6:38,4,7,OAK 19,3,0,"Shane Lechler punts 55 yards, returned by Chris Davis for 8 yards (tackle by Isaiah Ekejiuba)",-2.140,-1.200
1,6:23,1,10,TEN 34,3,0,Vince Young pass incomplete deep right intended for Justin Gage,1.200,0.660
1,6:19,2,10,TEN 34,3,0,LenDale White up the middle for 4 yards (tackle by Thomas Howard and Kirk Morrison),0.660,0.500
1,5:41,3,6,TEN 38,3,0,Vince Young pass complete short left to LenDale White for 8 yards (tackle by Nnamdi Asomugha),0.500,1.990
1,4:59,1,10,TEN 46,3,0,LenDale White left tackle for 11 yards (tackle by Stuart Schweigert),1.990,2.720
1,4:21,1,10,OAK 43,3,0,LenDale White left tackle for 3 yards (tackle by Terdell Sands),2.720,2.580
1,3:40,2,7,OAK 40,3,0,"Chris J. Henry up the middle for no gain (tackle by Tommy Kelly). Penalty on Tommy Kelly: Defensive Offside, 5 yards (no play)",2.580,3.260
1,3:18,2,2,OAK 35,3,0,Chris J. Henry right guard for 13 yards (tackle by Stanford Routt),3.260,4.110
1,2:41,1,10,OAK 22,3,0,Chris J. Henry up the middle for 5 yards (tackle by Michael Huff),4.110,4.290
1,2:04,2,5,OAK 17,3,0,Vince Young pass incomplete deep right intended for Ben Troupe,4.290,3.560
1,1:59,3,5,OAK 17,3,0,Vince Young up the middle for no gain (tackle by Tommy Kelly),3.560,2.360
1,1:18,4,5,OAK 17,3,3,Rob Bironas 35 yard field goal good,2.360,3.000
1,,,,TEN 30,3,3,"Rob Bironas kicks off 68 yards, returned by Dominic Rhodes for 26 yards (tackle by Calvin Lowry)",0.000,0.810
1,1:08,1,10,OAK 28,3,3,Daunte Culpepper pass incomplete short middle intended for Justin Griffith,0.810,0.260
1,1:04,2,10,OAK 28,3,3,Daunte Culpepper pass incomplete short right intended for Jerry Porter (defended by Tony Brown),0.260,-0.430
1,1:00,3,10,OAK 28,3,3,Daunte Culpepper pass incomplete deep right intended for Jerry Porter,-0.430,-1.500
1,0:56,4,10,OAK 28,3,3,"Shane Lechler punts 41 yards, returned by Chris Davis for 17 yards (tackle by Stuart Schweigert)",-1.500,-2.130
1,0:46,1,10,TEN 48,3,3,Vince Young pass complete short right to Bo Scaife for 8 yards (tackle by Michael Huff),2.130,2.660
1,0:13,2,2,OAK 44,3,3,LenDale White right tackle for 1 yard (tackle by Kirk Morrison and Stanford Routt),2.660,2.080
Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,OAK 43,3,3,LenDale White right guard for -1 yards (tackle by Kirk Morrison),2.080,0.330
2,14:13,4,2,OAK 44,3,3,"Penalty on TEN: Delay of Game, 5 yards (no play)",0.330,0.000
2,14:05,4,7,OAK 49,3,3,"Craig Hentrich punts 49 yards, touchback",0.000,-0.280
2,13:56,1,10,OAK 20,3,3,Daunte Culpepper pass complete short left to Jerry Porter for 8 yards (tackle by Keith Bulluck),0.280,0.810
2,13:19,2,2,OAK 28,3,3,Justin Fargas right tackle for 2 yards (tackle by Tony Brown and Keith Bulluck),0.810,0.940
2,12:41,1,10,OAK 30,3,3,Justin Fargas right tackle for 1 yard (tackle by Antwan Odom and Tony Brown),0.940,0.530
2,12:00,2,9,OAK 31,3,3,LaMont Jordan left tackle for 2 yards (tackle by Ryan Fowler),0.530,0.100
2,11:15,3,7,OAK 33,3,3,Daunte Culpepper pass complete short right to Jerry Porter for 11 yards (tackle by Nick Harper),0.100,1.860
2,10:39,1,10,OAK 44,3,3,LaMont Jordan left guard for no gain (tackle by Bryce Fisher),1.860,1.320
2,10:02,2,10,OAK 44,3,3,Justin Fargas up the middle for 7 yards (tackle by David Thornton and Michael Griffin),1.320,1.550
2,9:24,3,3,TEN 49,3,3,Daunte Culpepper pass complete short middle to Ronald Curry for 10 yards (tackle by Chris Hope),1.550,2.980
2,8:43,1,10,TEN 39,3,3,"Penalty on Paul McQuistan: False Start, 5 yards (no play)",2.980,2.650
2,8:20,1,15,TEN 44,3,3,LaMont Jordan up the middle for no gain (tackle by David Thornton),2.650,1.770
2,7:43,2,15,TEN 44,3,3,Daunte Culpepper pass complete short left to Zach Miller for 10 yards (tackle by Cortland Finnegan),1.770,2.410
2,7:00,3,5,TEN 34,3,3,"Penalty on Albert Haynesworth: Neutral Zone Infraction, 5 yards (no play)",2.410,3.640
2,6:44,1,10,TEN 29,3,3,LaMont Jordan up the middle for 7 yards (tackle by Cortland Finnegan and Chris Hope),3.640,4.050
2,6:10,2,3,TEN 22,3,3,LaMont Jordan right end for -3 yards (tackle by Kyle Vanden Bosch),4.050,2.940
2,5:29,3,6,TEN 25,3,3,"Daunte Culpepper pass incomplete deep right intended for Justin Fargas. Daunte Culpepper fumbles, recovered by Daunte Culpepper at TEN-31",2.940,1.830
2,5:22,4,6,TEN 25,6,3,Sebastian Janikowski 43 yard field goal good,1.830,3.000
2,,,,OAK 30,6,3,"Sebastian Janikowski kicks off 51 yards, returned by Casey Cramer for 13 yards (tackle by Ricky Brown)",0.000,1.070
2,5:12,1,10,TEN 32,6,3,LenDale White right tackle for 6 yards (tackle by Michael Huff and Thomas Howard),1.070,1.340
2,4:42,2,4,TEN 38,6,3,"LenDale White right end for 17 yards. Penalty on Kevin Mawae: Offensive Holding, 10 yards (no play)",1.340,-0.010
2,4:14,2,14,TEN 28,6,3,Vince Young sacked by Warren Sapp for -7 yards,-0.010,-1.620
2,3:43,3,21,TEN 21,6,3,"Vince Young pass complete deep left to Justin Gage for 44 yards (tackle by Stanford Routt). Penalty on Justin Gage: Offensive Pass Interference, 10 yards (no play)",-1.620,-3.880
2,3:15,3,31,TEN 11,6,3,Chris J. Henry up the middle for 6 yards (tackle by Tommy Kelly and Stuart Schweigert),-3.880,-2.320
