Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 57 yards, returned by Fred McAfee for 16 yards (tackle by Sam Brandon)",0.000,0.870
1,14:55,1,10,NOR 29,0,0,Deuce McAllister left tackle for -2 yards (tackle by Champ Bailey),0.870,0.060
1,14:19,2,12,NOR 27,0,0,Aaron Brooks pass incomplete intended for Joe Horn,0.060,-0.630
1,14:12,3,12,NOR 27,0,0,Aaron Brooks pass complete to Deuce McAllister for 6 yards (tackle by Donnie Spragan),-0.630,-1.180
1,13:38,4,6,NOR 33,0,0,"Mitch Berger punts 35 yards, returned by Rod Smith for 17 yards (tackle by Mitch Berger)",-1.180,-2.190
1,13:24,1,10,DEN 49,6,0,"Reuben Droughns left tackle for 51 yards, touchdown",2.190,7.000
1,,,,NOR 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Micah Knorr kicks off 68 yards, returned by Michael Lewis for 28 yards (tackle by Sam Brandon)",0.000,0.940
1,13:07,1,10,NOR 30,7,0,Aaron Brooks pass complete to Joe Horn for 17 yards (tackle by Nick Ferguson),0.940,2.060
1,12:32,1,10,NOR 47,7,0,Aaron Brooks pass complete to Boo Williams for 5 yards (tackle by Donnie Spragan),2.060,2.190
1,12:05,2,5,DEN 48,7,0,Deuce McAllister left tackle for no gain (tackle by Al Wilson),2.190,1.490
1,11:24,3,5,DEN 48,7,0,"Penalty on Joe Horn: False Start, 5 yards (no play)",1.490,0.830
1,11:00,3,10,NOR 47,7,0,Aaron Brooks pass incomplete,0.830,-0.260
1,10:52,4,10,NOR 47,7,0,"Mitch Berger punts 34 yards, fair catch by Rod Smith",-0.260,-0.150
1,10:45,1,10,DEN 19,7,0,Reuben Droughns left tackle for 11 yards (tackle by Tebucky Jones and Charles Grant),0.150,0.940
1,10:10,1,10,DEN 30,7,0,Jake Plummer pass complete to Ashley Lelie for 33 yards (tackle by Fred Thomas),0.940,3.120
1,9:43,1,10,NOR 37,13,0,"Jake Plummer pass complete to Ashley Lelie for 37 yards, touchdown",3.120,7.000
