Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 74 yards, returned by C.J. Spiller for 22 yards (tackle by Courtney Greene)",0.000,0.040
1,14:54,1,10,BUF 18,0,0,Fred Jackson left end for 7 yards (tackle by David Jones),0.040,0.550
1,14:26,2,3,BUF 25,0,0,Fred Jackson middle for no gain (tackle by Anthony Smith),0.550,-0.270
1,13:43,3,3,BUF 25,0,0,Ryan Fitzpatrick sacked by Aaron Kampman for -10 yards,-0.270,-2.440
1,13:20,4,13,BUF 15,0,0,"Brian Moorman punts 44 yards, returned by Mike Thomas for 2 yards (tackle by Cary Harris). Mike Thomas fumbles, recovered by Garrison Sanborn at JAX-45",-2.440,2.590
1,13:09,1,10,JAX 45,0,6,"Ryan Fitzpatrick pass complete deep left to Lee Evans for 45 yards, touchdown",2.590,7.000
1,,,,JAX 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,0,7,"Rian Lindell kicks off 78 yards, touchback",0.000,0.280
1,13:01,1,10,JAX 20,0,7,Mike Thomas left end for 16 yards (tackle by Donte Whitner and Dwan Edwards),0.280,1.330
1,12:26,1,10,JAX 36,0,7,Maurice Jones-Drew middle for 3 yards (tackle by Chris Kelsay and Andra Davis),1.330,1.200
1,11:47,2,7,JAX 39,0,7,David Garrard pass incomplete short right intended for Marcedes Lewis is intercepted by Andra Davis at JAX-41 and returned for 11 yards,1.200,-3.580
1,11:38,1,10,JAX 30,0,7,C.J. Spiller left tackle for 19 yards (tackle by Daryl Smith),3.580,4.840
1,11:03,1,10,JAX 11,0,7,C.J. Spiller middle for 1 yard (tackle by Tyson Alualu and Kirk Morrison),4.840,4.320
1,10:19,2,9,JAX 10,0,7,"Penalty on Cornell Green: False Start, 5 yards (no play)",4.320,3.560
1,9:57,2,14,JAX 15,0,7,Ryan Fitzpatrick pass incomplete short left intended for C.J. Spiller (defended by Aaron Kampman),3.560,2.970
1,9:51,3,14,JAX 15,0,7,Ryan Fitzpatrick pass complete short right to David Nelson for 4 yards (tackle by Gerald Alexander),2.970,2.700
1,9:11,4,10,JAX 11,0,10,Rian Lindell 29 yard field goal good,2.700,3.000
1,,,,BUF 30,0,10,"Rian Lindell kicks off 59 yards, returned by Deji Karim for 31 yards (tackle by Akin Ayodele)",0.000,1.730
1,9:01,1,10,JAX 42,0,10,Maurice Jones-Drew middle for 5 yards (tackle by Torell Troup and Kyle Williams),1.730,1.860
1,8:28,2,5,JAX 47,0,10,Maurice Jones-Drew right guard for 23 yards (tackle by Donte Whitner),1.860,3.580
1,7:55,1,10,BUF 30,0,10,Deji Karim middle for 4 yards (tackle by Jairus Byrd),3.580,3.570
1,7:11,2,6,BUF 26,0,10,Deji Karim right tackle for 1 yard (tackle by Spencer Johnson and Drayton Florence),3.570,3.010
1,6:32,3,5,BUF 25,0,10,David Garrard sacked by Marcus Stroud for -6 yards,3.010,1.320
1,6:04,4,11,BUF 31,3,10,Josh Scobee 49 yard field goal good,1.320,3.000
1,,,,JAX 30,3,10,"Josh Scobee kicks off 73 yards, returned by C.J. Spiller for 30 yards (tackle by Josh Scobee)",0.000,0.740
1,5:52,1,10,BUF 27,3,10,Fred Jackson right guard for no gain (tackle by Tyson Alualu),0.740,0.200
