Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Peyton Manning pass complete deep right to Marvin Harrison for 42 yards (tackle by Gerald Sensabaugh),0.280,3.050
1,14:17,1,10,JAX 38,0,0,Dominic Rhodes left end for -6 yards (tackle by Paul Spicer),3.050,1.700
1,13:43,2,16,JAX 44,0,0,Peyton Manning pass incomplete short left intended for Dominic Rhodes,1.700,1.030
1,13:38,3,16,JAX 44,0,0,Peyton Manning pass incomplete deep left intended for Brandon Stokley,1.030,0.330
1,13:29,4,16,JAX 44,0,0,Hunter Smith punts 38 yards,0.330,0.380
1,13:19,1,10,JAX 6,0,0,Fred Taylor middle for 76 yards (tackle by Jason David),-0.380,4.370
1,12:26,1,10,IND 18,0,6,"Maurice Jones-Drew middle for 18 yards, touchdown",4.370,7.000
1,,,,IND 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,7,"Josh Scobee kicks off 72 yards, returned by Terrence Wilkins for 18 yards (tackle by Dee Webb)",0.000,-0.140
1,12:14,1,10,IND 16,0,7,Dominic Rhodes middle for -3 yards (tackle by Marcellus Wiley),-0.140,-0.990
1,11:45,2,13,IND 13,0,7,Peyton Manning pass incomplete short right intended for Ben Utecht (defended by Daryl Smith),-0.990,-1.750
1,11:41,3,13,IND 13,0,7,Peyton Manning pass complete short right to Dominic Rhodes for 6 yards (tackle by Terry Cousin),-1.750,-2.140
1,11:06,4,7,IND 19,0,7,"Hunter Smith punts 32 yards. Penalty on Kelvin Hayden: Unsportsmanlike Conduct, 15 yards",-2.140,-3.180
1,10:59,1,10,IND 36,0,7,David Garrard right end for 2 yards (tackle by Cato June),3.180,2.910
1,10:27,2,8,IND 34,0,7,Fred Taylor middle for -2 yards (tackle by Gary Brackett),2.910,1.950
1,9:43,3,10,IND 36,0,7,David Garrard pass incomplete short right intended for Matt Jones (defended by Raheem Brock),1.950,0.880
1,9:38,,,,0,7,Timeout #1 by Jacksonville Jaguars,0.000,0.880
1,9:38,4,10,IND 36,0,7,David Garrard pass incomplete deep right intended for Matt Jones,0.880,-1.330
1,9:28,1,10,IND 36,0,7,"Peyton Manning pass incomplete deep right intended for Brandon Stokley. Penalty on Deon Grant: Defensive Pass Interfere, 21 yards (no play)",1.330,2.720
1,9:19,1,10,JAX 43,0,7,Joseph Addai middle for 8 yards,2.720,3.260
1,8:49,2,2,JAX 35,0,7,Peyton Manning pass complete short right to Bryan Fletcher for 5 yards (tackle by Terry Cousin and Daryl Smith),3.260,3.580
1,8:05,1,10,JAX 30,0,7,Joseph Addai right end for -6 yards (tackle by Marcellus Wiley),3.580,2.220
1,7:31,2,16,JAX 36,0,7,Peyton Manning pass complete short left to Brandon Stokley for 10 yards (tackle by Terry Cousin),2.220,2.870
1,6:54,3,6,JAX 26,0,7,Peyton Manning pass complete short middle to Reggie Wayne for 3 yards (tackle by Brian Williams),2.870,2.030
1,6:10,4,3,JAX 23,3,7,Adam Vinatieri 41 yard field goal good,2.030,3.000
1,,,,IND 30,3,7,"Adam Vinatieri kicks off 59 yards, returned by Derrick Wimbush for 33 yards (tackle by Adam Vinatieri)",0.000,1.860
1,5:58,1,10,JAX 44,3,7,David Garrard pass complete deep middle to Marcedes Lewis for 19 yards (tackle by Nick Harper),1.860,3.120
1,5:20,1,10,IND 37,3,7,Fred Taylor middle for 3 yards (tackle by Marlin Jackson),3.120,2.980
1,4:42,2,7,IND 34,3,7,David Garrard pass incomplete deep right intended for Ernest Wilford,2.980,2.280
1,4:34,3,7,IND 34,3,7,David Garrard pass complete short left to Reggie Williams for 4 yards (tackle by Marlin Jackson),2.280,1.480
1,3:59,4,3,IND 30,3,7,Josh Scobee 48 yard field goal no good,1.480,-1.470
1,3:53,1,10,IND 38,3,7,"Peyton Manning pass incomplete deep right intended for Marvin Harrison. Penalty on Rashean Mathis: Defensive Holding, 5 yards (no play)",1.470,1.800
1,3:46,1,10,IND 43,3,7,Joseph Addai middle for 5 yards (tackle by Brian Williams),1.800,1.930
1,3:12,2,5,IND 48,3,7,Peyton Manning pass complete short middle to Marvin Harrison for 4 yards (tackle by Rashean Mathis),1.930,1.750
1,2:29,3,1,JAX 48,3,7,Joseph Addai sacked by Daryl Smith for -3 yards,1.750,-0.130
1,1:45,4,4,IND 49,3,7,Hunter Smith punts no gain,-0.130,-4.170
1,1:35,1,10,IND 21,3,7,Fred Taylor middle for 14 yards (tackle by Matt Giordano),4.170,5.600
1,0:54,1,7,IND 7,3,7,"Fred Taylor middle for 4 yards (tackle by Kelvin Hayden). Penalty on JAX: Illegal Formation, 5 yards (no play)",5.600,4.640
1,0:24,1,12,IND 12,3,7,Fred Taylor middle for -1 yards (tackle by Raheem Brock),4.640,3.720
Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,IND 13,3,7,Fred Taylor middle for -2 yards (tackle by Robert Mathis),3.720,2.930
2,14:19,3,15,IND 15,3,7,David Garrard pass incomplete deep middle intended for Marcedes Lewis is intercepted by Matt Giordano,2.930,-0.280
