Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Mixon left guard for 6 yards (tackle by Roquan Smith),0.610,0.870
1,14:28,2,4,CIN 31,0,0,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Marlon Humphrey),0.870,0.560
1,13:52,3,1,CIN 34,0,0,Samaje Perine up the middle for 2 yards (tackle by Calais Campbell),0.560,1.330
1,13:14,1,10,CIN 36,0,0,Joe Burrow pass complete short right to Joe Mixon for 6 yards (tackle by Chuck Clark),1.330,1.600
1,12:38,2,4,CIN 42,0,0,Joe Burrow sacked by and Jason Pierre-Paul for -2 yards and Broderick Washington for -2 yards,1.600,0.630
1,11:51,3,6,CIN 40,0,0,Joe Burrow pass complete short middle to Tyler Boyd for 11 yards (tackle by Marcus Williams),0.630,2.320
1,11:15,1,10,BAL 49,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Kyle Hamilton),2.320,2.460
1,10:42,2,5,BAL 44,0,0,Joe Mixon right guard for 11 yards (tackle by Kyle Hamilton),2.460,3.380
1,10:03,1,10,BAL 33,0,0,Joe Burrow scrambles left end for 1 yard (tackle by Patrick Queen),3.380,2.970
1,9:24,2,9,BAL 32,0,0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Marlon Humphrey),2.970,4.170
1,8:42,1,10,BAL 21,0,0,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Marcus Peters),4.170,3.630
1,8:33,2,10,BAL 21,0,0,Joe Burrow pass incomplete short right intended for Hayden Hurst,3.630,2.940
1,8:29,3,10,BAL 21,0,0,Joe Burrow pass incomplete short right intended for Hayden Hurst,2.940,2.060
1,8:26,4,10,BAL 21,0,3,Evan McPherson 39 yard field goal good,2.060,3.000
1,8:22,,,CIN 35,0,3,"Evan McPherson kicks off 65 yards, returned by Justice Hill for 29 yards (tackle by Trayveon Williams)",0.000,0.870
1,8:17,1,10,BAL 29,0,3,J.K. Dobbins right end for 10 yards (tackle by Jessie Bates),0.870,1.530
1,7:42,1,10,BAL 39,0,3,J.K. Dobbins right tackle for 4 yards (tackle by B.J. Hill),1.530,1.530
1,7:18,2,6,BAL 43,0,3,Tyler Huntley pass complete short right to Josh Oliver for 7 yards,1.530,2.260
1,6:49,1,10,BAL 50,0,3,J.K. Dobbins up the middle for 4 yards (tackle by D.J. Reader),2.260,2.250
1,6:07,2,6,CIN 46,0,3,Tyler Huntley pass short right intended for Mark Andrews is intercepted by Akeem Davis-Gaither at CIN-40 and returned for no gain (tackle by Mark Andrews),2.250,-1.600
1,6:03,1,10,CIN 40,0,3,Joe Burrow pass complete short middle to Hayden Hurst for 13 yards (tackle by Chuck Clark and Kyle Hamilton),1.600,2.460
1,5:27,1,10,BAL 47,0,3,Joe Mixon left end for -1 yards (tackle by Patrick Queen and Roquan Smith),2.460,1.780
1,4:49,2,11,BAL 48,0,3,Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards (tackle by Roquan Smith),1.780,1.490
1,4:05,3,8,BAL 45,0,3,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Marlon Humphrey),1.490,3.380
1,3:19,1,10,BAL 33,0,3,Joe Burrow sacked by Justin Houston for -9 yards,3.380,1.620
1,2:38,2,19,BAL 42,0,3,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Roquan Smith and Kyle Hamilton),1.620,2.150
1,1:54,3,10,BAL 33,0,3,Joe Burrow pass complete short right to Ja'Marr Chase for 13 yards (tackle by Marcus Peters and Roquan Smith),2.150,4.240
1,0:56,1,10,BAL 20,0,3,"Joe Mixon right tackle for 1 yard (tackle by Marcus Peters and Patrick Queen). Penalty on Marcus Peters: Taunting / Defense, 10 yards (accepted)",4.240,5.140
1,0:56,1,9,BAL 9,0,3,"Joe Burrow pass complete to Samaje Perine for no gain (tackle by Patrick Queen). Penalty on Jonah Williams: Offensive Holding, 10 yards (accepted) (no play)",5.140,4.230
1,0:29,1,19,BAL 19,0,3,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Patrick Queen),4.230,4.760
Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,BAL 7,0,9,"Joe Burrow pass complete short middle to Ja'Marr Chase for 7 yards, touchdown",4.760,7.000
2,14:56,,,BAL 15,0,9,Evan McPherson kicks extra point no good,0.000,-1.000
2,14:56,,,CIN 35,0,9,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,14:56,1,10,BAL 25,0,9,Tyler Huntley pass incomplete short right intended for Patrick Ricard,0.610,0.060
2,14:51,2,10,BAL 25,0,9,Tyler Huntley pass complete short left to Sammy Watkins for 12 yards (tackle by Eli Apple),0.060,1.400
2,14:13,1,10,BAL 37,0,9,Gus Edwards left guard for 6 yards (tackle by Logan Wilson),1.400,1.670
2,13:42,2,4,BAL 43,0,9,J.K. Dobbins left guard for 3 yards (tackle by Logan Wilson and Josh Tupou),1.670,1.360
2,13:10,3,1,BAL 46,0,9,Gus Edwards left tackle for 4 yards (tackle by Vonn Bell),1.360,2.260
2,12:34,1,10,BAL 50,0,9,J.K. Dobbins right end for 13 yards (tackle by Germaine Pratt),2.260,3.120
2,11:56,1,10,CIN 37,0,9,J.K. Dobbins right guard for 1 yard (tackle by Jay Tufele and Cameron Sample),3.120,2.710
2,11:18,2,9,CIN 36,0,9,Tyler Huntley pass complete short right to Demarcus Robinson for 8 yards (tackle by Cam Taylor-Britt),2.710,3.070
2,10:37,3,1,CIN 28,0,9,Mark Andrews right tackle for no gain (tackle by Cam Taylor-Britt and Sam Hubbard),3.070,1.720
2,9:53,,,,,,Timeout #1 by Baltimore Ravens,,
2,9:53,4,1,CIN 28,0,9,Tyler Huntley right tackle for 2 yards (tackle by Sam Hubbard and Zachary Carter),1.720,3.840
2,9:17,1,10,CIN 26,0,9,J.K. Dobbins left end for 1 yard (tackle by Zachary Carter),3.840,3.430
2,8:44,2,9,CIN 25,0,9,Tyler Huntley pass complete short left to Mark Andrews for 14 yards (tackle by Eli Apple),3.430,4.840
2,8:02,1,10,CIN 11,0,9,Tyler Huntley scrambles right end for 3 yards (tackle by B.J. Hill),4.840,4.570
2,7:25,2,8,CIN 8,0,9,J.K. Dobbins right tackle for 2 yards (tackle by Logan Wilson),4.570,4.210
