Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 69 yards, returned by Julian Edelman for 16 yards (tackle by William Middleton)",0.000,-0.060
1,14:55,1,10,NWE 17,0,0,Tom Brady pass complete short middle to Wes Welker for 7 yards (tackle by Justin Durant),-0.060,0.480
1,14:22,2,3,NWE 24,0,0,Laurence Maroney left end for 2 yards (tackle by Justin Durant and Derek Cox),0.480,-0.120
1,13:45,3,1,NWE 26,0,0,Laurence Maroney left end for 9 yards (tackle by Reggie Nelson and Anthony Smith),-0.120,1.270
1,13:15,1,10,NWE 35,0,0,Kevin Faulk left tackle for 18 yards (tackle by Anthony Smith),1.270,2.460
1,12:31,1,10,JAX 47,0,0,Tom Brady pass complete short middle to Chris Baker for 6 yards (tackle by Russell Allen and Gerald Alexander),2.460,2.720
1,11:52,2,4,JAX 41,0,0,Tom Brady pass complete short middle to Wes Welker for 15 yards (tackle by Derek Cox),2.720,3.840
1,11:13,1,10,JAX 26,0,0,Laurence Maroney left end for 9 yards (tackle by Gerald Alexander),3.840,4.640
1,10:46,2,1,JAX 17,0,0,Laurence Maroney middle for 2 yards (tackle by Terrance Knighton and Russell Allen),4.640,4.580
1,10:11,1,10,JAX 15,0,0,Tom Brady pass complete short right to Ben Watson for 14 yards (tackle by Gerald Alexander),4.580,6.970
1,9:46,1,1,JAX 1,0,0,"Laurence Maroney right guard for no gain (tackle by John Henderson). Laurence Maroney fumbles (forced by John Henderson), recovered by Daryl Smith at JAX-1",6.970,0.380
,,,,,,,"NWE challenged the fumble ruling, and the play was upheld.",,
1,9:36,1,10,JAX 1,0,0,David Garrard middle for 4 yards (tackle by Ron Brace),-0.380,-0.490
1,8:59,2,6,JAX 5,0,0,Maurice Jones-Drew middle for 4 yards (tackle by Adalius Thomas and Jerod Mayo),-0.490,-0.480
1,8:15,3,2,JAX 9,0,0,Maurice Jones-Drew right guard for 3 yards (tackle by Jerod Mayo and Shawn Springs),-0.480,-0.350
1,7:37,1,10,JAX 12,0,0,Maurice Jones-Drew middle for 14 yards (tackle by Gary Guyton and Jerod Mayo),-0.350,0.670
1,6:51,1,10,JAX 26,0,0,Maurice Jones-Drew left tackle for 1 yard (tackle by Jarvis Green),0.670,0.270
1,6:16,2,9,JAX 27,0,0,David Garrard pass complete short left to Torry Holt for 8 yards (tackle by Leigh Bodden),0.270,0.630
1,5:35,,,,0,0,Timeout #1 by Jacksonville Jaguars,0.000,0.630
1,5:34,3,1,JAX 35,0,0,Mike Thomas left end for no gain (tackle by Brandon Meriweather),0.630,-1.040
1,4:53,4,1,JAX 35,0,0,Maurice Jones-Drew right guard for no gain (tackle by James Sanders),-1.040,-3.250
1,4:47,1,10,JAX 35,0,0,Sammy Morris left end for 21 yards (tackle by Gerald Alexander and Anthony Smith),3.250,4.650
1,4:11,1,10,JAX 14,0,0,Sammy Morris right guard for 3 yards (tackle by Derrick Harvey and Russell Allen),4.650,4.520
1,3:34,2,7,JAX 11,0,0,Tom Brady pass complete short left to Wes Welker for 9 yards (tackle by Anthony Smith),4.520,6.740
1,2:52,1,2,JAX 2,0,6,"Tom Brady pass complete short middle to Randy Moss for 2 yards, touchdown",6.740,7.000
1,,,,JAX 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,0,7,"Stephen Gostkowski kicks off 64 yards, returned by Maurice Jones-Drew for 20 yards (tackle by Kyle Arrington)",0.000,0.670
1,2:42,1,10,JAX 26,0,7,David Garrard pass incomplete deep middle intended for Torry Holt (defended by Shawn Springs),0.670,0.130
1,2:38,2,10,JAX 26,0,7,Maurice Jones-Drew left tackle for 4 yards (tackle by Myron Pryor and Jarvis Green),0.130,-0.030
1,1:54,3,6,JAX 30,0,7,David Garrard pass complete short right to Mike Thomas for 9 yards (tackle by Jonathan Wilhite),-0.030,1.530
1,1:32,1,10,JAX 39,0,7,Maurice Jones-Drew left end for 8 yards (tackle by James Sanders and Leigh Bodden),1.530,2.070
1,0:52,2,2,JAX 47,0,7,Maurice Jones-Drew right end for 11 yards (tackle by Jonathan Wilhite),2.070,2.790
1,0:25,1,10,NWE 42,0,7,David Garrard pass incomplete deep middle intended for Marcedes Lewis is intercepted by Brandon Meriweather at NWE-17 and returned for 56 yards,2.790,-3.780
1,0:06,1,10,JAX 27,0,7,Kevin Faulk left guard for 1 yard (tackle by Rashean Mathis and Daryl Smith),3.780,3.370
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,JAX 26,0,13,"Tom Brady pass complete deep left to Chris Baker for 26 yards, touchdown",3.370,7.000
2,,,,JAX 2,0,14,Stephen Gostkowski kicks extra point good,0.000,0.000
