Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 67 yards, returned by Devin Hester for 18 yards (tackle by Justin Hickman)",0.000,-0.140
1,14:56,1,10,CHI 16,0,0,Jay Cutler sacked by Robert Mathis for -12 yards,-0.140,-1.660
1,14:22,2,22,CHI 4,0,0,"Penalty on Gabe Carimi: False Start, 2 yards (no play)",-1.660,-1.800
1,14:01,2,24,CHI 2,0,0,Matt Forte left guard for 3 yards (tackle by Justin King and Moise Fokou),-1.800,-2.710
1,13:21,3,21,CHI 5,0,0,Jay Cutler pass incomplete short right intended for Alshon Jeffery,-2.710,-2.490
1,13:15,4,21,CHI 5,0,0,"Adam Podlesh punts 45 yards, fair catch by LaVon Brazill",-2.490,-2.260
1,13:08,1,10,,0,0,Andrew Luck pass complete short right to Dominique Jones for 8 yards (tackle by Lance Briggs),2.260,2.790
1,12:28,2,2,CHI 42,0,0,Donald Brown right tackle for -2 yards (tackle by Israel Idonije),2.790,1.820
1,11:45,3,4,CHI 44,0,0,Andrew Luck pass incomplete short left intended for Reggie Wayne,1.820,0.330
1,11:40,4,4,CHI 44,0,0,Pat McAfee punts 41 yards,0.330,0.380
1,11:28,1,10,CHI 3,6,0,"Jay Cutler pass incomplete short right intended for Matt Forte is intercepted by Jerrell Freeman at CHI-4 and returned for 4 yards, touchdown",-0.380,-7.000
1,,,,CHI 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,11:23,,,IND 35,7,0,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
1,11:23,1,10,CHI 20,7,0,Matt Forte left tackle for no gain (tackle by Kavell Conner),0.280,-0.270
1,10:47,2,10,CHI 20,7,0,Jay Cutler pass incomplete short right intended for Evan Rodriguez,-0.270,-0.960
1,10:42,3,10,CHI 20,7,0,Jay Cutler pass complete short right to Brandon Marshall for 13 yards (tackle by Vontae Davis),-0.960,1.140
1,10:00,1,10,CHI 33,7,0,Jay Cutler pass incomplete short left intended for Matt Forte,1.140,0.590
1,9:56,2,10,CHI 33,7,0,Matt Forte left end for 32 yards (tackle by Antoine Bethea),0.590,3.250
1,9:09,1,10,IND 35,7,0,Jay Cutler pass incomplete deep left intended for Kellen Davis,3.250,2.700
1,9:04,2,10,IND 35,7,0,Jay Cutler pass incomplete deep left intended for Brandon Marshall (defended by Jerraud Powers),2.700,2.010
1,8:56,3,10,IND 35,7,0,"Jay Cutler pass incomplete deep middle intended for Earl Bennett. Penalty on Justin King: Defensive Pass Interference, 19 yards (no play)",2.010,4.510
1,8:49,1,10,IND 16,7,0,Jay Cutler pass incomplete deep left intended for Alshon Jeffery,4.510,3.900
1,8:45,2,10,IND 16,7,0,Matt Forte right tackle for 15 yards (tackle by Tom Zbikowski),3.900,0.000
1,7:58,,,,7,0,Timeout #1 by Chicago Bears,0.000,6.970
1,7:58,1,1,IND 1,7,0,Jay Cutler pass incomplete short left intended for Brandon Marshall. Penalty on Cassius Vaughn: Defensive Pass Interference (no play),6.970,6.970
1,7:54,1,1,IND 1,7,0,Michael Bush right tackle for no gain (tackle by Mario Harvey),6.970,5.910
1,7:21,2,1,IND 1,7,6,"Michael Bush right tackle for 1 yard, touchdown",5.910,7.000
1,7:21,,,IND 2,7,7,Robbie Gould kicks extra point good,0.000,0.000
1,7:19,,,CHI 35,7,7,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,7:19,1,10,IND 20,7,7,Andrew Luck pass complete short middle to Reggie Wayne for 8 yards (tackle by Brian Urlacher),0.280,0.810
1,6:42,2,2,IND 28,7,7,Andrew Luck pass incomplete short left intended for Reggie Wayne (defended by Brian Urlacher),0.810,0.100
1,6:36,3,2,IND 28,7,7,Andrew Luck left guard for 3 yards (tackle by Henry Melton),0.100,1.000
1,5:51,1,10,IND 31,7,7,Donald Brown left guard for -4 yards (tackle by Henry Melton),1.000,-0.080
1,5:11,2,14,IND 27,7,7,Andrew Luck pass complete short right to LaVon Brazill for 10 yards (tackle by Major Wright),-0.080,0.560
1,4:33,3,4,IND 37,7,7,Andrew Luck pass incomplete short left intended for Reggie Wayne,0.560,-0.910
1,4:28,4,4,IND 37,7,7,"Pat McAfee punts 63 yards, touchback",-0.910,-0.280
1,4:19,1,10,CHI 20,7,7,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Tom Zbikowski),0.280,-0.270
1,4:15,2,10,CHI 20,7,7,Michael Bush left guard for 3 yards (tackle by Robert Mathis),-0.270,-0.560
