Quarter,Time,Tm,Detail,NOR,MIN
1.0,12:20,Vikings,Ryan Longwell 44 yard field goal,0,3
,2:51,Saints,Lance Moore 5 yard pass from Drew Brees (John Kasay kick),7,3
2.0,13:13,Vikings,Ryan Longwell 49 yard field goal,7,6
,10:04,Saints,Jimmy Graham 1 yard pass from Drew Brees (John Kasay kick),14,6
,6:59,Vikings,Toby Gerhart 10 yard pass from Christian Ponder (Ryan Longwell kick),14,13
,1:33,Saints,Darren Sproles 13 yard pass from Drew Brees (John Kasay kick),21,13
3.0,12:15,Saints,John Gilmore 2 yard pass from Drew Brees (John Kasay kick),28,13
,10:18,Saints,Lance Moore 47 yard pass from Drew Brees (John Kasay kick),35,13
4.0,12:50,Saints,Pierre Thomas 1 yard rush (John Kasay kick),42,13
,5:12,Vikings,Toby Gerhart 16 yard pass from Christian Ponder (Ryan Longwell kick),42,20
