Quarter,Time,Down,ToGo,Location,NOR,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Ryan Longwell kicks off 60 yards, returned by Pierre Thomas for 15 yards (tackle by Kenny Onatolu)",0.000,0.280
1,14:56,1,10,NOR 20,0,0,Pierre Thomas up the middle for 10 yards (tackle by Mistral Raymond),0.280,0.940
1,14:26,1,10,NOR 30,0,0,Drew Brees pass complete short left to Darren Sproles for no gain,0.940,0.390
1,13:52,2,10,NOR 30,0,0,"Drew Brees pass complete short middle to Jimmy Graham for 18 yards (tackle by Jamarca Sanford). Jimmy Graham fumbles (forced by Jamarca Sanford), recovered by Mistral Raymond at MIN-48 and returned for 26 yards (tackle by Pierre Thomas)",0.390,-3.840
1,13:40,1,10,NOR 26,0,0,Adrian Peterson right tackle for 1 yard (tackle by Jabari Greer),3.840,3.430
1,13:04,2,9,NOR 25,0,0,Percy Harvin left end for -1 yards (tackle by Patrick Robinson),3.430,2.610
1,12:28,3,10,NOR 26,0,0,Christian Ponder pass incomplete deep left intended for Percy Harvin,2.610,1.740
1,12:24,4,10,NOR 26,0,3,Ryan Longwell 44 yard field goal good,1.740,3.000
1,,,,MIN 35,0,3,"Ryan Longwell kicks off 69 yards, returned by Darren Sproles for 25 yards (tackle by Brandon Burton)",0.000,0.340
1,12:15,1,10,NOR 21,0,3,Chris Ivory left tackle for 4 yards (tackle by E.J. Henderson and Brian Robison),0.340,0.340
1,11:39,2,6,NOR 25,0,3,Drew Brees pass incomplete short left intended for Darren Sproles,0.340,-0.360
1,11:34,3,6,NOR 25,0,3,Drew Brees pass incomplete short right intended for Jimmy Graham (defended by Mistral Raymond),-0.360,-1.700
1,11:29,4,6,NOR 25,0,3,"Thomas Morstead punts 51 yards, fair catch by Marcus Sherels",-1.700,-0.540
1,11:21,1,10,MIN 24,0,3,Christian Ponder pass complete short right to Percy Harvin for 3 yards (tackle by Jo-Lonn Dunbar),0.540,0.400
1,10:56,2,7,MIN 27,0,3,Adrian Peterson up the middle for 8 yards (tackle by Jonathan Vilma and Sedrick Ellis),0.400,1.270
